tick,population,births,deaths,avg_energy,avg_age,groups,neighbor_checks,tick_ms
0,300,0,0,9.6816,10.1780,10,1672,17.191
1,300,0,0,9.7622,10.1980,20,1672,18.368
2,300,0,0,9.8417,10.2180,27,1672,18.838
3,300,0,0,9.9208,10.2380,31,1678,19.063
4,300,0,0,9.9991,10.2580,33,1684,19.651
5,300,0,0,10.0765,10.2780,35,1696,19.142
6,300,0,0,10.1526,10.2980,36,1702,20.543
7,300,0,0,10.2268,10.3180,37,1704,21.785
8,300,0,0,10.2998,10.3380,38,1706,20.413
9,300,0,0,10.3707,10.3580,40,1716,20.849
10,300,0,0,10.4410,10.3780,40,1714,20.332
11,300,0,0,10.5093,10.3980,40,1716,20.109
12,299,0,1,10.5758,10.4112,40,1697,20.079
13,299,0,0,10.6407,10.4312,41,1706,20.364
14,299,0,0,10.7040,10.4512,40,1694,21.162
15,299,0,0,10.7663,10.4712,40,1694,21.176
16,299,0,0,10.8261,10.4912,40,1694,20.982
17,298,0,1,10.8830,10.5245,40,1696,21.015
18,298,0,0,10.9386,10.5445,40,1692,21.444
19,298,0,0,10.9933,10.5645,40,1696,21.145
20,298,0,0,11.0467,10.5845,40,1698,20.228
21,298,0,0,11.0986,10.6045,40,1690,20.321
22,298,0,0,11.1498,10.6245,40,1700,22.586
23,298,0,0,11.1989,10.6445,40,1706,21.806
24,298,0,0,11.2462,10.6645,40,1708,21.762
25,298,0,0,11.2911,10.6845,40,1708,21.972
26,298,0,0,11.3350,10.7045,40,1712,21.594
27,298,0,0,11.3786,10.7245,40,1724,21.445
28,298,0,0,11.4218,10.7445,40,1726,21.807
29,298,0,0,11.4628,10.7645,40,1738,20.647
30,298,1,1,11.4798,10.7173,40,1734,20.475
31,298,0,0,11.5127,10.7373,40,1746,20.393
32,298,0,0,11.5450,10.7573,40,1754,21.794
33,298,1,1,11.5548,10.7082,40,1769,20.890
34,298,0,0,11.5872,10.7282,40,1766,21.024
35,298,0,0,11.6190,10.7482,40,1764,20.964
36,298,1,1,11.6293,10.6999,41,1771,22.999
37,298,0,0,11.6595,10.7199,41,1770,21.046
38,298,0,0,11.6886,10.7399,41,1774,20.868
39,298,0,0,11.7163,10.7599,41,1778,21.568
40,298,0,0,11.7420,10.7799,41,1784,21.203
41,298,1,1,11.7466,10.7315,41,1786,20.747
42,298,0,0,11.7704,10.7515,41,1788,20.812
43,298,0,0,11.7945,10.7715,41,1802,21.840
44,298,0,0,11.8175,10.7915,42,1804,21.986
45,298,0,0,11.8388,10.8115,42,1804,22.570
46,298,0,0,11.8569,10.8315,42,1808,24.358
47,298,0,0,11.8754,10.8515,43,1810,21.910
48,298,0,0,11.8934,10.8715,43,1804,21.602
49,298,0,0,11.9095,10.8915,43,1800,21.170
50,298,0,0,11.9228,10.9115,43,1796,21.141
51,298,0,0,11.9363,10.9315,43,1802,21.691
52,298,0,0,11.9500,10.9515,43,1792,30.953
53,298,0,0,11.9640,10.9715,43,1798,33.210
54,298,0,0,11.9780,10.9915,43,1806,33.365
55,298,1,1,11.9715,10.9427,43,1806,34.976
56,298,0,0,11.9846,10.9627,43,1808,44.712
57,298,0,0,11.9987,10.9827,43,1808,29.888
58,298,0,0,12.0109,11.0027,43,1816,23.738
59,298,1,1,12.0014,10.9554,44,1826,23.642
60,298,0,0,12.0121,10.9754,44,1834,23.846
61,298,0,0,12.0222,10.9954,44,1830,22.083
62,298,0,0,12.0322,11.0154,44,1828,24.521
63,298,0,0,12.0414,11.0354,44,1822,21.393
64,298,0,0,12.0485,11.0554,44,1812,21.528
65,298,0,0,12.0555,11.0754,43,1814,23.134
66,298,0,0,12.0617,11.0954,42,1814,21.708
67,298,0,0,12.0669,11.1154,42,1816,21.455
68,298,0,0,12.0722,11.1354,41,1822,23.532
69,298,0,0,12.0777,11.1554,41,1820,21.495
70,298,0,0,12.0831,11.1754,41,1814,21.443
71,298,1,1,12.0664,11.1278,41,1812,22.653
72,298,1,1,12.0506,11.0805,40,1813,21.505
73,298,0,0,12.0567,11.1005,40,1814,22.108
74,298,0,0,12.0627,11.1205,40,1816,22.564
75,298,0,0,12.0689,11.1405,40,1818,21.167
76,298,0,0,12.0766,11.1605,40,1818,22.658
77,298,0,0,12.0849,11.1805,40,1814,23.161
78,298,0,0,12.0933,11.2005,40,1814,21.561
79,298,0,0,12.1020,11.2205,40,1812,23.364
80,298,0,0,12.1101,11.2405,40,1814,22.566
81,298,0,0,12.1183,11.2605,40,1812,21.610
82,298,0,0,12.1263,11.2805,40,1808,22.805
83,298,0,0,12.1354,11.3005,40,1810,21.582
84,298,0,0,12.1437,11.3205,40,1814,22.042
85,298,0,0,12.1510,11.3405,40,1808,22.802
86,298,0,0,12.1578,11.3605,40,1806,21.652
87,298,0,0,12.1645,11.3805,40,1806,22.028
88,298,0,0,12.1696,11.4005,40,1804,24.558
89,298,0,0,12.1736,11.4205,40,1812,22.483
90,298,0,0,12.1770,11.4405,40,1800,22.001
91,298,0,0,12.1805,11.4605,40,1794,22.405
92,298,0,0,12.1835,11.4805,40,1790,21.685
93,298,0,0,12.1866,11.5005,40,1794,22.144
94,298,0,0,12.1902,11.5205,40,1788,23.405
95,298,0,0,12.1943,11.5405,40,1770,22.270
96,298,0,0,12.1974,11.5605,40,1770,21.659
97,298,1,1,12.1817,11.5132,40,1767,22.725
98,298,0,0,12.1871,11.5332,40,1768,22.251
99,298,1,1,12.1679,11.4859,40,1757,22.366
100,298,1,1,12.1507,11.4386,40,1752,22.680
101,298,0,0,12.1570,11.4586,40,1760,21.661
102,298,0,0,12.1628,11.4786,40,1756,21.590
103,298,0,0,12.1681,11.4986,40,1748,21.876
104,298,0,0,12.1739,11.5186,40,1732,21.473
105,298,1,1,12.1588,11.4711,40,1723,23.230
106,298,1,1,12.1401,11.4237,40,1719,23.340
107,298,1,1,12.1234,11.3741,40,1720,22.175
108,298,0,0,12.1279,11.3941,40,1724,22.971
109,298,0,0,12.1314,11.4141,40,1728,21.708
110,298,0,0,12.1348,11.4341,40,1734,22.238
111,298,1,1,12.1191,11.3821,40,1735,23.149
112,298,0,0,12.1229,11.4021,40,1750,22.102
113,298,0,0,12.1269,11.4221,40,1752,21.643
114,298,0,0,12.1329,11.4421,40,1760,22.347
115,298,0,0,12.1388,11.4621,40,1760,23.085
116,298,1,1,12.1243,11.4111,41,1762,26.230
117,298,1,1,12.1068,11.3639,41,1760,22.426
118,298,1,1,12.0892,11.3166,41,1760,22.190
