tick,population,births,deaths,avg_energy,avg_age,groups,neighbor_checks,tick_ms
0,300,0,0,9.6816,9.8366,9,1652,19.520
1,300,0,0,9.7632,9.8566,18,1652,27.983
2,300,0,0,9.8448,9.8766,24,1650,29.996
3,300,0,0,9.9250,9.8966,27,1656,23.786
4,300,0,0,10.0034,9.9166,30,1652,21.046
5,300,0,0,10.0804,9.9366,35,1652,25.837
6,300,0,0,10.1587,9.9566,36,1660,19.533
7,300,0,0,10.2335,9.9766,37,1656,28.437
8,300,0,0,10.3098,9.9966,38,1664,22.741
9,300,0,0,10.3812,10.0166,38,1656,18.679
10,300,0,0,10.4499,10.0366,39,1672,29.387
11,300,0,0,10.5217,10.0566,40,1674,19.286
12,300,0,0,10.5872,10.0766,41,1668,31.455
13,300,0,0,10.6578,10.0966,41,1660,32.036
14,300,0,0,10.7209,10.1166,41,1654,21.537
15,300,0,0,10.7817,10.1366,42,1656,21.915
16,300,0,0,10.8482,10.1566,42,1664,28.309
17,300,0,0,10.9071,10.1766,42,1670,28.054
18,300,0,0,10.9719,10.1966,42,1672,22.530
19,300,0,0,11.0289,10.2166,41,1682,21.775
20,299,0,1,11.0829,10.2380,41,1671,22.145
21,299,0,0,11.1449,10.2580,41,1668,22.407
22,299,0,0,11.1950,10.2780,41,1680,33.156
23,299,0,0,11.2528,10.2980,41,1686,24.706
24,299,0,0,11.2971,10.3180,41,1690,25.041
25,299,0,0,11.3394,10.3380,41,1692,28.125
26,299,0,0,11.3921,10.3580,42,1706,24.317
27,299,0,0,11.4295,10.3780,42,1706,22.790
28,299,0,0,11.4781,10.3980,42,1682,17.868
29,298,0,1,11.5113,10.3930,42,1677,17.538
30,298,2,2,11.5027,10.2782,42,1671,21.972
31,298,0,0,11.5473,10.2982,42,1676,20.228
32,298,1,1,11.5540,10.2504,42,1668,26.525
33,298,0,0,11.5934,10.2704,42,1664,20.800
34,298,0,0,11.6172,10.2904,42,1668,22.225
35,298,0,0,11.6383,10.3104,42,1670,20.578
36,298,0,0,11.6740,10.3304,42,1676,25.545
37,298,2,2,11.6534,10.2156,42,1668,30.944
38,298,0,0,11.6886,10.2356,42,1680,19.699
39,298,0,0,11.7087,10.2556,42,1686,28.140
40,298,1,1,11.7085,10.2076,42,1675,32.715
41,298,0,0,11.7444,10.2276,42,1676,21.737
42,298,0,0,11.7646,10.2476,42,1680,28.382
43,298,0,0,11.7959,10.2676,42,1686,23.743
44,298,0,0,11.8122,10.2876,42,1700,24.131
45,298,0,0,11.8265,10.3076,42,1700,27.065
46,298,0,0,11.8559,10.3276,42,1706,19.495
47,298,0,0,11.8729,10.3476,42,1704,30.526
48,298,0,0,11.9022,10.3676,42,1704,32.010
49,298,1,1,11.8949,10.3204,42,1703,28.819
50,298,0,0,11.9105,10.3404,42,1718,41.709
51,298,0,0,11.9381,10.3604,42,1718,22.869
52,298,0,0,11.9526,10.3804,42,1720,26.762
53,298,2,2,11.9368,10.2658,42,1715,25.366
54,298,1,1,11.9305,10.2187,43,1728,20.653
55,298,0,0,11.9452,10.2387,43,1730,35.894
56,298,0,0,11.9701,10.2587,43,1734,21.363
57,298,0,0,11.9836,10.2787,43,1734,27.247
58,298,0,0,12.0042,10.2987,43,1730,19.724
59,298,0,0,12.0107,10.3187,43,1728,21.740
60,298,0,0,12.0174,10.3387,43,1732,25.736
61,298,0,0,12.0366,10.3587,43,1736,21.174
62,298,0,0,12.0458,10.3787,43,1738,30.967
63,298,1,1,12.0459,10.3314,43,1732,26.667
64,298,0,0,12.0536,10.3514,43,1730,22.374
65,298,2,2,12.0175,10.2369,44,1724,35.049
66,298,0,0,12.0374,10.2569,44,1726,32.640
67,298,0,0,12.0437,10.2769,44,1728,33.469
68,298,0,0,12.0622,10.2969,44,1734,20.318
69,298,1,1,12.0456,10.2491,44,1732,21.407
70,298,0,0,12.0517,10.2691,45,1750,37.694
71,298,0,0,12.0702,10.2891,45,1756,22.601
72,298,0,0,12.0741,10.3091,45,1764,26.908
73,298,0,0,12.0917,10.3291,45,1760,19.511
74,298,0,0,12.0948,10.3491,45,1768,22.243
75,298,1,1,12.0779,10.3020,45,1766,32.169
76,298,0,0,12.0942,10.3220,44,1772,21.140
77,298,1,1,12.0716,10.2748,44,1767,24.066
78,298,0,0,12.0866,10.2948,44,1770,18.995
