tick,population,births,deaths,avg_energy,avg_age,groups,neighbor_checks,tick_ms
0,240,0,0,9.6819,9.7835,4,616,13.417
1,240,0,0,9.7639,9.8035,6,620,10.500
2,240,0,0,9.8459,9.8235,10,620,11.873
3,240,0,0,9.9279,9.8435,11,620,12.162
4,240,0,0,10.0099,9.8635,13,624,12.459
5,240,0,0,10.0919,9.8835,15,620,17.448
6,240,0,0,10.1735,9.9035,16,618,11.393
7,240,0,0,10.2542,9.9235,17,616,12.554
8,240,0,0,10.3340,9.9435,18,616,12.834
9,240,0,0,10.4130,9.9635,20,612,11.958
10,240,0,0,10.4903,9.9835,20,614,10.647
11,240,0,0,10.5657,10.0035,20,612,14.724
12,240,0,0,10.6460,10.0235,21,614,12.990
13,240,0,0,10.7187,10.0435,22,614,13.145
14,240,0,0,10.7894,10.0635,22,614,10.963
15,240,0,0,10.8595,10.0835,22,612,11.874
16,240,0,0,10.9280,10.1035,22,610,13.323
17,240,0,0,10.9944,10.1235,22,608,16.039
18,240,0,0,11.0728,10.1435,22,610,14.428
19,240,0,0,11.1385,10.1635,23,612,11.756
20,240,0,0,11.2026,10.1835,24,614,11.922
21,240,0,0,11.2636,10.2035,24,612,13.693
22,240,0,0,11.3221,10.2235,24,618,13.921
23,240,0,0,11.3796,10.2435,24,620,16.268
24,240,0,0,11.4555,10.2635,24,618,13.557
25,240,0,0,11.5125,10.2835,25,626,13.133
26,240,0,0,11.5679,10.3035,26,628,12.925
27,240,0,0,11.6223,10.3235,26,628,15.120
28,239,0,1,11.6731,10.3463,26,632,14.101
29,239,0,0,11.7234,10.3663,26,632,15.762
30,239,1,1,11.7687,10.3022,27,629,13.640
31,239,1,1,11.7886,10.2377,27,626,13.431
32,239,0,0,11.8319,10.2577,27,628,12.364
33,239,0,0,11.8729,10.2777,27,634,13.543
34,239,0,0,11.9114,10.2977,27,638,14.161
35,239,1,1,11.9236,10.2339,27,638,16.960
36,239,0,0,11.9904,10.2539,27,646,13.672
37,239,0,0,12.0269,10.2739,27,650,13.701
38,239,0,0,12.0599,10.2939,27,648,12.241
39,239,0,0,12.0919,10.3139,27,648,12.758
40,239,0,0,12.1243,10.3339,28,644,13.427
41,239,0,0,12.1543,10.3539,29,640,16.098
42,239,0,0,12.2144,10.3739,29,642,13.371
43,239,0,0,12.2436,10.3939,29,636,12.948
44,239,0,0,12.2720,10.4139,29,642,10.873
45,239,0,0,12.2973,10.4339,29,640,14.666
46,239,0,0,12.3225,10.4539,29,642,14.912
47,239,0,0,12.3445,10.4739,29,644,18.095
48,239,0,0,12.3980,10.4939,29,648,15.318
49,239,0,0,12.4183,10.5139,29,638,16.150
50,239,0,0,12.4393,10.5339,29,640,13.512
51,239,0,0,12.4571,10.5539,29,642,13.515
52,239,0,0,12.4725,10.5739,29,650,10.800
53,239,1,1,12.4604,10.5099,29,643,15.987
54,239,1,1,12.4824,10.4461,30,648,13.437
55,239,2,2,12.4397,10.2980,31,639,15.490
56,239,0,0,12.4520,10.3180,31,642,14.984
57,239,0,0,12.4644,10.3380,31,640,14.612
58,239,0,0,12.4763,10.3580,31,642,13.114
59,239,1,1,12.4617,10.2943,31,641,14.869
60,239,0,0,12.5099,10.3143,31,642,11.957
61,239,1,1,12.4994,10.2506,31,641,13.486
62,239,0,0,12.5161,10.2706,31,650,15.458
63,239,1,1,12.5030,10.2068,31,647,13.990
64,239,0,0,12.5196,10.2268,31,646,13.018
65,239,0,0,12.5337,10.2468,31,654,15.385
66,239,0,0,12.5821,10.2668,31,652,11.739
67,239,0,0,12.5950,10.2868,31,650,14.097
68,239,0,0,12.6096,10.3068,31,656,15.218
69,239,0,0,12.6235,10.3268,31,652,13.535
70,239,0,0,12.6345,10.3468,31,656,14.818
71,239,0,0,12.6433,10.3668,31,658,18.590
72,239,0,0,12.6891,10.3868,31,656,14.330
73,239,0,0,12.6961,10.4068,31,660,11.286
74,239,0,0,12.7030,10.4268,31,660,13.138
75,239,0,0,12.7092,10.4468,31,654,14.761
76,239,1,1,12.6889,10.3831,31,649,18.494
77,239,0,0,12.6956,10.4031,31,654,16.760
78,239,1,1,12.7091,10.3392,31,652,17.624
79,239,1,1,12.6909,10.2723,31,652,21.703
80,239,0,0,12.6980,10.2923,31,646,23.930
81,240,1,0,12.6180,10.2694,32,644,19.038
82,240,0,0,12.6219,10.2894,32,652,17.199
83,240,0,0,12.6244,10.3094,32,646,30.661
84,240,0,0,12.6650,10.3294,32,646,19.860
85,240,0,0,12.6676,10.3494,32,650,26.593
86,240,0,0,12.6690,10.3694,32,640,16.085
87,240,0,0,12.6699,10.3894,32,640,14.267
88,240,0,0,12.6707,10.4094,32,636,13.968
89,240,0,0,12.6700,10.4294,32,640,17.761
90,240,1,1,12.6832,10.3660,32,637,15.074
91,240,1,1,12.6506,10.3004,32,636,14.322
92,240,0,0,12.6515,10.3204,32,644,18.174
93,240,1,1,12.6259,10.2494,32,644,13.027
94,240,0,0,12.6247,10.2694,32,646,15.892
