tick,population,births,deaths,avg_energy,avg_age,groups,neighbor_checks,tick_ms
0,100,0,0,9.6821,10.0251,1,158,4.917
1,100,0,0,9.7642,10.0451,2,160,5.821
2,100,0,0,9.8463,10.0651,3,162,5.265
3,100,0,0,9.9264,10.0851,4,162,5.002
4,100,0,0,10.0054,10.1051,4,164,5.676
5,100,0,0,10.0834,10.1251,5,164,5.270
6,100,0,0,10.1610,10.1451,5,164,5.108
7,100,0,0,10.2379,10.1651,5,164,5.665
8,100,0,0,10.3147,10.1851,5,160,5.422
9,100,0,0,10.3918,10.2051,5,160,5.568
10,100,0,0,10.4662,10.2251,5,160,6.186
11,100,0,0,10.5391,10.2451,5,160,5.635
12,100,0,0,10.6108,10.2651,5,160,5.661
13,100,0,0,10.6814,10.2851,6,160,6.691
14,100,0,0,10.7498,10.3051,6,162,5.869
15,100,0,0,10.8165,10.3251,6,162,6.806
16,100,0,0,10.8808,10.3451,6,162,7.622
17,100,0,0,10.9425,10.3651,6,164,6.845
18,100,0,0,11.0025,10.3851,6,170,7.269
19,100,0,0,11.0616,10.4051,6,170,6.856
20,100,0,0,11.1190,10.4251,6,170,8.831
21,100,0,0,11.1747,10.4451,6,170,7.167
22,100,0,0,11.2299,10.4651,6,172,7.755
23,100,0,0,11.2866,10.4851,6,174,6.645
24,100,0,0,11.3420,10.5051,6,174,7.974
25,100,0,0,11.3937,10.5251,6,174,6.755
26,100,0,0,11.4430,10.5451,6,178,7.101
27,100,0,0,11.4899,10.5651,6,176,8.318
28,100,0,0,11.5351,10.5851,6,180,7.067
29,100,0,0,11.5791,10.6051,6,184,8.068
30,100,1,1,11.5602,10.4198,6,184,7.103
31,100,0,0,11.6009,10.4398,7,184,7.969
32,100,0,0,11.6399,10.4598,7,186,7.812
33,100,0,0,11.6740,10.4798,7,190,8.388
34,100,0,0,11.7073,10.4998,7,194,7.177
35,100,0,0,11.7414,10.5198,7,192,7.957
36,100,0,0,11.7760,10.5398,7,188,7.621
37,100,0,0,11.8121,10.5598,7,186,8.181
38,100,0,0,11.8470,10.5798,7,190,7.562
39,100,0,0,11.8811,10.5998,7,186,8.733
40,100,0,0,11.9162,10.6198,7,186,7.954
41,100,0,0,11.9508,10.6398,7,182,8.881
42,100,0,0,11.9861,10.6598,7,186,7.802
43,100,0,0,12.0197,10.6798,7,186,8.579
44,100,0,0,12.0538,10.6998,7,182,7.673
45,100,0,0,12.0866,10.7198,7,180,8.335
46,100,0,0,12.1184,10.7398,7,184,8.388
47,100,0,0,12.1503,10.7598,7,186,8.727
48,100,0,0,12.1824,10.7798,7,186,8.001
49,100,0,0,12.2169,10.7998,7,190,8.386
50,100,0,0,12.2514,10.8198,7,188,8.220
51,100,0,0,12.2851,10.8398,7,188,9.409
52,100,0,0,12.3186,10.8598,7,190,7.603
53,100,0,0,12.3514,10.8798,7,190,8.348
54,100,0,0,12.3817,10.8998,7,188,7.691
55,100,0,0,12.4136,10.9198,7,192,9.056
56,100,0,0,12.4439,10.9398,7,188,7.688
57,100,0,0,12.4730,10.9598,7,186,8.408
58,100,0,0,12.5027,10.9798,8,186,7.756
59,100,0,0,12.5303,10.9998,8,190,9.202
60,100,0,0,12.5611,11.0198,8,190,7.862
61,100,0,0,12.5891,11.0398,8,184,9.232
62,100,0,0,12.6165,11.0598,8,184,7.749
63,100,0,0,12.6424,11.0798,8,186,10.285
