tick,population,births,deaths,avg_energy,avg_age,groups,neighbor_checks,tick_ms
0,240,0,0,9.6819,9.7835,0,616,9.894
1,240,0,0,9.7639,9.8035,0,620,8.715
2,240,0,0,9.8459,9.8235,0,620,11.621
3,240,0,0,9.9279,9.8435,0,624,8.892
4,240,0,0,10.0099,9.8635,0,626,9.375
5,240,0,0,10.0919,9.8835,0,622,10.247
6,240,0,0,10.1736,9.9035,0,616,9.357
7,240,0,0,10.2546,9.9235,0,614,10.192
8,240,0,0,10.3344,9.9435,0,612,8.998
9,240,0,0,10.4137,9.9635,0,610,9.715
10,240,0,0,10.4916,9.9835,0,614,8.559
11,240,0,0,10.5674,10.0035,0,608,11.171
12,240,0,0,10.6483,10.0235,0,600,9.065
13,240,0,0,10.7214,10.0435,0,598,8.885
14,240,0,0,10.7923,10.0635,0,598,10.085
15,240,0,0,10.8628,10.0835,0,594,8.697
16,240,0,0,10.9323,10.1035,0,596,9.384
17,240,0,0,11.0003,10.1235,0,586,11.128
18,240,0,0,11.0797,10.1435,0,586,9.407
19,240,0,0,11.1460,10.1635,0,582,9.284
20,240,0,0,11.2105,10.1835,0,582,8.881
21,240,0,0,11.2742,10.2035,0,586,10.550
22,240,0,0,11.3365,10.2235,0,590,8.656
23,240,0,0,11.3965,10.2435,0,584,11.488
24,240,0,0,11.4740,10.2635,0,580,10.064
25,240,0,0,11.5321,10.2835,0,580,8.754
26,240,0,0,11.5874,10.3035,0,576,9.556
27,240,0,0,11.6405,10.3235,0,578,8.888
28,240,0,0,11.6909,10.3435,0,576,9.567
29,240,0,0,11.7389,10.3635,0,572,11.079
30,240,1,1,11.7873,10.2998,0,571,9.380
31,240,0,0,11.8322,10.3198,0,562,9.331
32,240,0,0,11.8752,10.3398,0,558,8.651
33,240,0,0,11.9174,10.3598,0,554,9.741
34,240,0,0,11.9578,10.3798,0,564,8.801
35,240,1,1,11.9711,10.3163,0,562,12.079
36,240,0,0,12.0427,10.3363,0,558,11.657
37,240,1,1,12.0542,10.2699,0,550,10.285
38,240,0,0,12.0909,10.2899,0,560,11.910
39,240,0,0,12.1232,10.3099,0,564,9.422
40,240,0,0,12.1541,10.3299,0,564,8.688
41,240,0,0,12.1845,10.3499,0,556,12.437
42,240,0,0,12.2538,10.3699,0,546,8.590
43,239,0,1,12.2789,10.4255,0,544,11.471
44,239,0,0,12.3067,10.4455,0,518,9.096
45,239,0,0,12.3333,10.4655,0,520,8.614
46,239,0,0,12.3590,10.4855,0,518,10.340
47,239,0,0,12.3822,10.5055,0,518,11.285
48,239,0,0,12.4491,10.5255,0,510,9.698
49,239,0,0,12.4714,10.5455,0,508,10.092
50,239,0,0,12.4927,10.5655,0,504,9.772
51,239,0,0,12.5125,10.5855,0,498,12.842
52,239,0,0,12.5308,10.6055,0,492,10.460
53,239,0,0,12.5479,10.6255,0,490,11.306
54,239,3,3,12.5366,10.3935,0,488,9.649
55,239,0,0,12.5564,10.4135,0,486,9.465
56,239,0,0,12.5745,10.4335,0,490,9.583
57,239,1,1,12.5635,10.3694,0,486,9.611
58,239,0,0,12.5814,10.3894,0,484,9.034
59,239,0,0,12.5988,10.4094,0,482,12.043
60,239,3,3,12.5785,10.1766,0,473,9.288
61,239,0,0,12.5954,10.1966,0,482,9.591
62,239,0,0,12.6132,10.2166,0,482,9.888
63,239,0,0,12.6323,10.2366,0,488,8.965
64,239,0,0,12.6520,10.2566,0,494,9.367
65,239,1,1,12.6438,10.1928,0,489,11.695
66,239,1,1,12.6848,10.1288,0,494,9.658
67,239,0,0,12.7022,10.1488,0,500,9.600
68,239,0,0,12.7193,10.1688,0,502,9.053
69,239,0,0,12.7338,10.1888,0,506,10.204
70,239,0,0,12.7471,10.2088,0,502,8.793
71,239,0,0,12.7609,10.2288,0,494,12.940
72,239,0,0,12.8260,10.2488,0,500,9.963
73,239,0,0,12.8443,10.2688,0,492,8.965
74,239,0,0,12.8631,10.2888,0,486,9.861
75,239,0,0,12.8817,10.3088,0,476,8.805
76,239,0,0,12.8999,10.3288,0,474,10.638
77,239,0,0,12.9172,10.3488,0,460,12.615
78,239,0,0,12.9830,10.3688,0,452,9.901
79,239,0,0,12.9997,10.3888,0,458,10.385
80,239,0,0,13.0161,10.4088,0,450,10.422
81,239,0,0,13.0341,10.4288,0,458,9.857
82,239,1,1,13.0194,10.3646,0,452,13.387
83,239,0,0,13.0347,10.3846,0,464,15.811
84,239,0,0,13.0999,10.4046,0,468,10.458
85,239,0,0,13.1136,10.4246,0,476,9.848
86,239,0,0,13.1251,10.4446,0,474,13.580
87,239,0,0,13.1392,10.4646,0,474,10.707
88,239,0,0,13.1533,10.4846,0,480,9.748
89,239,0,0,13.1651,10.5046,0,474,13.358
90,239,0,0,13.2297,10.5246,0,472,10.699
