tick,population,births,deaths,avgEnergy,avgAge,groups,neighborChecks,tickDurationMs
0,120,0,0,9.735194,9.835948,0,136,12.2876
1,120,0,0,9.870471,9.869279,0,134,0.442
2,120,0,0,10.005776,9.902615,0,134,0.4044
3,120,0,0,10.141096,9.935949,0,136,0.4084
4,120,0,0,10.276462,9.969285,0,134,0.4093
5,120,0,0,10.411943,10.00262,0,126,0.4076
6,120,0,0,10.547439,10.035951,0,124,0.4162
7,120,0,0,10.682902,10.069284,0,122,0.4172
8,120,0,0,10.818333,10.102618,0,120,0.4224
9,120,0,0,10.95369,10.135951,0,120,0.4585
10,120,0,0,11.08902,10.169285,0,118,0.4261
11,120,0,0,11.224399,10.20262,0,110,0.4261
12,120,0,0,11.359692,10.235955,0,112,0.4264
13,120,0,0,11.494929,10.269288,0,112,0.4349
14,120,0,0,11.630188,10.302618,0,108,0.434
15,120,0,0,11.765546,10.335951,0,100,0.4465
16,120,0,0,11.900997,10.369281,0,94,0.4581
17,120,3,3,11.886085,9.893159,0,88,1.3965
18,120,0,0,12.021745,9.926495,0,84,0.4687
19,120,0,0,12.157364,9.959827,0,90,0.4921
20,120,0,0,12.293038,9.993166,0,90,0.4947
21,120,0,0,12.428727,10.026496,0,94,0.5502
22,120,0,0,12.564457,10.059831,0,94,0.4665
23,120,0,0,12.700281,10.0931635,0,90,0.4414
24,120,0,0,12.836245,10.126496,0,84,0.4365
25,120,0,0,12.972285,10.159832,0,84,0.4447
26,120,0,0,13.108505,10.193167,0,76,0.4401
27,120,0,0,13.244882,10.2265,0,70,0.4448
28,120,0,0,13.381342,10.259833,0,68,0.4433
29,120,0,0,13.517855,10.293166,0,66,0.4391
30,120,0,0,13.6544,10.326495,0,66,0.4436
31,120,0,0,13.791036,10.359827,0,64,0.4375
32,120,0,0,13.927827,10.393159,0,56,0.4369
33,120,1,1,14.005193,10.258029,0,54,0.4368
34,120,0,0,14.1421,10.291361,0,54,0.4388
35,120,0,0,14.279053,10.324696,0,54,0.4387
36,120,0,0,14.416135,10.358034,0,48,0.4373
37,120,0,0,14.553213,10.391366,0,52,0.4387
38,120,0,0,14.690411,10.424697,0,46,0.4371
39,120,0,0,14.827791,10.458028,0,38,0.432
40,120,0,0,14.965227,10.491366,0,38,0.4333
41,120,0,0,15.102793,10.524701,0,34,0.4343
42,120,2,2,15.111376,10.221981,0,36,0.4416
43,120,0,0,15.24899,10.255316,0,38,0.4417
44,120,1,1,15.321153,10.121328,0,34,0.44
45,120,0,0,15.458926,10.15466,0,34,0.4383
46,120,0,0,15.596179,10.187989,0,34,0.4429
47,120,0,0,15.73134,10.221325,0,36,0.439
48,121,1,0,15.669225,10.169908,0,38,0.4393
49,121,0,0,15.804415,10.20324,0,36,0.4485
50,122,1,0,15.744741,10.152672,0,38,0.4751
51,122,0,0,15.881352,10.1860075,0,36,0.4671
52,122,0,0,16.018051,10.219342,0,32,0.6593
53,122,0,0,16.137636,10.252672,0,28,0.4712
54,123,1,0,16.056356,10.202378,0,28,0.462
55,124,1,0,15.97866,10.153169,0,32,0.4604
56,124,0,0,16.096052,10.186502,0,36,0.6889
57,125,1,0,16.020077,10.138076,0,32,0.471
58,125,0,0,16.137756,10.1714115,0,30,0.4769
59,125,0,0,16.256657,10.204742,0,28,0.4692
60,125,0,0,16.37552,10.238074,0,30,0.4696
61,125,0,0,16.494297,10.271405,0,36,0.4676
62,126,1,0,16.417309,10.222955,0,36,0.4703
63,126,0,0,16.532951,10.256288,0,40,0.4771
64,127,1,0,16.453901,10.208602,0,46,0.4717
65,129,2,0,16.183731,10.08315,0,52,0.4844
66,130,1,0,16.106907,10.038664,0,62,0.4833
67,130,0,0,16.215136,10.071997,0,60,0.4994
68,131,1,0,16.13586,10.02819,0,54,0.4905
69,131,0,0,16.240498,10.061522,0,56,0.5005
70,131,0,0,16.343832,10.094856,0,48,0.4915
71,131,0,0,16.449263,10.128192,0,52,0.5045
72,132,1,0,16.368778,10.084542,0,60,0.5023
73,132,0,0,16.471992,10.117875,0,62,0.5082
74,132,0,0,16.572197,10.151208,0,66,0.5
75,133,1,0,16.480255,10.107965,0,72,0.5092
76,133,0,0,16.572668,10.141298,0,72,0.5023
77,133,0,0,16.664454,10.174631,0,78,0.5215
78,133,0,0,16.754055,10.207964,0,78,0.5096
79,133,0,0,16.84363,10.241301,0,86,0.5222
80,133,0,0,16.934034,10.274635,0,86,0.5147
81,133,0,0,17.026186,10.307968,0,84,0.5205
82,133,0,0,17.11876,10.341301,0,78,0.515
83,133,0,0,17.211441,10.374635,0,76,0.5169
84,133,0,0,17.304117,10.407968,0,82,0.787
85,133,0,0,17.396814,10.441299,0,86,0.6478
86,133,0,0,17.491554,10.474636,0,78,0.5457
87,133,0,0,17.58316,10.507966,0,76,0.5176
88,133,0,0,17.675686,10.541302,0,78,0.5102
89,134,1,0,17.575577,10.495719,0,72,0.5202
90,134,0,0,17.669512,10.529053,0,78,0.5232
91,134,0,0,17.760519,10.562384,0,82,0.5279
92,134,0,0,17.855354,10.595716,0,82,0.5248
93,134,0,0,17.952301,10.629054,0,82,0.527
94,134,0,0,18.047855,10.662386,0,84,0.5267
95,134,0,0,18.143084,10.695722,0,88,0.5274
96,134,0,0,18.240238,10.7290535,0,84,0.5242
97,134,0,0,18.335794,10.762385,0,82,0.5282
98,134,0,0,18.430443,10.795719,0,82,0.5263
99,134,0,0,18.526525,10.829051,0,84,0.5356
100,134,0,0,18.622478,10.862388,0,82,0.5241
101,134,0,0,18.717436,10.89572,0,78,0.5269
102,134,0,0,18.813364,10.929052,0,78,0.5314
