tick,population,births,deaths,avg_energy,avg_age,groups,neighbor_checks,tick_ms
0,100,0,0,9.6821,10.3064,0,118,5.832
1,100,0,0,9.7642,10.3264,0,118,5.388
2,100,0,0,9.8464,10.3464,0,118,6.031
3,100,0,0,9.9285,10.3664,0,118,5.274
4,100,0,0,10.0107,10.3864,0,118,5.303
5,100,0,0,10.0929,10.4064,0,116,6.693
6,100,0,0,10.1751,10.4264,0,116,5.673
7,100,0,0,10.2573,10.4464,0,116,5.287
8,100,0,0,10.3395,10.4664,0,114,5.809
9,100,0,0,10.4209,10.4864,0,114,5.317
10,100,0,0,10.5021,10.5064,0,116,5.265
11,100,0,0,10.5832,10.5264,0,118,8.766
12,100,0,0,10.6650,10.5464,0,116,5.858
13,100,0,0,10.7450,10.5664,0,114,6.553
14,100,0,0,10.8231,10.5864,0,112,5.421
15,100,0,0,10.9011,10.6064,0,110,5.367
16,100,0,0,10.9781,10.6264,0,110,5.519
17,100,0,0,11.0551,10.6464,0,112,8.517
18,100,0,0,11.1359,10.6664,0,112,5.254
19,100,0,0,11.2129,10.6864,0,114,6.443
20,100,0,0,11.2892,10.7064,0,114,5.401
21,100,0,0,11.3632,10.7264,0,114,5.411
22,100,0,0,11.4365,10.7464,0,112,6.256
23,100,0,0,11.5077,10.7664,0,110,9.553
24,100,0,0,11.5867,10.7864,0,106,6.453
25,100,0,0,11.6570,10.8064,0,108,5.285
26,100,0,0,11.7256,10.8264,0,106,5.231
27,100,0,0,11.7900,10.8464,0,102,7.090
28,100,1,1,11.7912,10.6608,0,98,5.428
29,100,0,0,11.8509,10.6808,0,94,10.882
30,100,0,0,11.9266,10.7008,0,94,5.302
31,100,0,0,11.9807,10.7208,0,94,5.270
32,100,0,0,12.0345,10.7408,0,92,6.919
33,100,0,0,12.0880,10.7608,0,88,5.401
34,100,0,0,12.1407,10.7808,0,84,5.988
35,100,0,0,12.1915,10.8008,0,84,9.890
36,100,0,0,12.2652,10.8208,0,88,5.970
37,100,0,0,12.3157,10.8408,0,86,5.794
38,100,0,0,12.3654,10.8608,0,86,5.150
39,100,0,0,12.4121,10.8808,0,84,6.072
40,100,1,1,12.3955,10.6980,0,82,5.413
41,100,0,0,12.4423,10.7180,0,80,10.402
42,100,0,0,12.5150,10.7380,0,78,5.632
43,100,1,1,12.4950,10.5576,0,72,5.159
44,100,0,0,12.5418,10.5776,0,72,5.375
45,100,0,0,12.5890,10.5976,0,66,5.473
46,100,0,0,12.6341,10.6176,0,68,5.137
47,100,0,0,12.6793,10.6376,0,68,10.431
48,100,0,0,12.7508,10.6576,0,68,5.425
49,100,0,0,12.7946,10.6776,0,62,5.116
50,100,1,1,12.7733,10.4974,0,66,5.831
51,100,0,0,12.8138,10.5174,0,64,5.151
52,100,0,0,12.8527,10.5374,0,64,5.113
53,100,0,0,12.8923,10.5574,0,64,10.965
54,100,0,0,12.9627,10.5774,0,62,5.236
55,100,0,0,13.0017,10.5974,0,62,6.728
56,100,0,0,13.0392,10.6174,0,66,5.249
57,100,1,1,13.0069,10.4364,0,64,5.120
58,100,0,0,13.0430,10.4564,0,64,6.202
59,100,1,1,13.0046,10.2763,0,66,9.745
60,100,0,0,13.0737,10.2963,0,66,6.125
61,100,0,0,13.1094,10.3163,0,68,5.130
62,100,0,0,13.1443,10.3363,0,68,5.217
63,100,1,1,13.1046,10.1562,0,66,6.221
64,100,0,0,13.1397,10.1762,0,68,5.154
65,100,0,0,13.1744,10.1962,0,68,10.216
66,100,0,0,13.2433,10.2162,0,68,5.338
67,100,0,0,13.2551,10.2362,0,62,5.112
68,100,0,0,13.2609,10.2562,0,56,6.496
69,100,1,1,13.2011,10.0752,0,54,5.271
70,100,0,0,13.2055,10.0952,0,50,5.027
71,100,0,0,13.2098,10.1152,0,50,10.581
72,100,0,0,13.2701,10.1352,0,52,5.183
73,100,0,0,13.2760,10.1552,0,50,6.044
74,100,0,0,13.2823,10.1752,0,46,5.095
75,100,0,0,13.2899,10.1952,0,46,5.221
76,100,0,0,13.2973,10.2152,0,42,5.925
77,100,0,0,13.3050,10.2352,0,38,9.708
78,100,1,1,13.2907,10.0548,0,42,5.463
79,100,0,0,13.3004,10.0748,0,44,5.357
80,100,0,0,13.3084,10.0948,0,42,5.023
81,100,0,0,13.3125,10.1148,0,40,4.989
82,100,0,0,13.3116,10.1348,0,38,5.479
83,100,0,0,13.3127,10.1548,0,36,9.748
84,100,0,0,13.3720,10.1748,0,32,6.253
85,100,0,0,13.3757,10.1948,0,34,5.003
86,100,0,0,13.3785,10.2148,0,36,4.960
87,100,0,0,13.3822,10.2348,0,36,5.709
88,100,0,0,13.3866,10.2548,0,38,5.029
89,100,0,0,13.3906,10.2748,0,34,10.741
90,100,0,0,13.4508,10.2948,0,34,5.355
91,100,0,0,13.4551,10.3148,0,32,4.955
92,100,0,0,13.4595,10.3348,0,32,6.010
93,100,0,0,13.4613,10.3548,0,30,5.028
94,100,0,0,13.4615,10.3748,0,26,4.926
95,100,0,0,13.4616,10.3948,0,22,10.987
96,100,0,0,13.5216,10.4148,0,22,5.139
97,100,1,1,13.4545,10.2341,0,20,5.899
98,100,0,0,13.4557,10.2541,0,22,5.483
99,100,0,0,13.4578,10.2741,0,24,5.024
100,100,0,0,13.4591,10.2941,0,22,5.265
101,100,1,1,13.3806,10.1135,0,24,10.620
102,100,0,0,13.4417,10.1335,0,22,5.196
103,100,0,0,13.4469,10.1535,0,26,5.929
104,100,1,1,13.3848,9.9729,0,26,5.079
105,100,0,0,13.3883,9.9929,0,26,4.931
106,100,0,0,13.3926,10.0129,0,28,6.000
107,100,0,0,13.3991,10.0329,0,30,9.733
108,100,0,0,13.4612,10.0529,0,30,6.228
109,100,0,0,13.4713,10.0729,0,32,5.010
110,99,0,1,13.4733,10.1394,0,34,4.962
111,99,0,0,13.4804,10.1594,0,34,5.833
112,99,0,0,13.4855,10.1794,0,30,4.984
113,99,0,0,13.4906,10.1994,0,28,10.526
114,99,0,0,13.5523,10.2194,0,28,5.167
115,99,0,0,13.5559,10.2394,0,30,4.904
116,99,0,0,13.5599,10.2594,0,26,6.013
117,99,0,0,13.5628,10.2794,0,22,5.100
118,99,0,0,13.5618,10.2994,0,28,5.293
119,99,0,0,13.5611,10.3194,0,26,10.590
120,99,1,1,13.5618,10.1369,0,28,5.113
121,99,0,0,13.5644,10.1569,0,28,5.172
122,99,0,0,13.5675,10.1769,0,26,5.380
123,99,0,0,13.5730,10.1969,0,26,4.899
124,99,1,1,13.5086,10.0141,0,24,4.887
125,99,0,0,13.5152,10.0341,0,32,10.935
126,99,0,0,13.5783,10.0541,0,34,5.227
127,99,0,0,13.5849,10.0741,0,30,5.518
128,99,0,0,13.5924,10.0941,0,30,4.937
129,99,1,1,13.5242,9.9116,0,30,4.922
130,99,0,0,13.5319,9.9316,0,30,6.178
131,99,0,0,13.5379,9.9516,0,30,9.581
132,99,0,0,13.6007,9.9716,0,28,6.408
133,99,0,0,13.6063,9.9916,0,28,4.991
134,99,0,0,13.6143,10.0116,0,28,4.893
135,99,0,0,13.6200,10.0316,0,28,5.919
136,99,0,0,13.6265,10.0516,0,28,5.029
137,99,0,0,13.6317,10.0716,0,26,11.049
138,99,0,0,13.6945,10.0916,0,26,5.513
139,99,0,0,13.7008,10.1116,0,22,5.077
140,99,0,0,13.7058,10.1316,0,22,5.651
141,99,0,0,13.7098,10.1516,0,22,5.171
142,99,0,0,13.7153,10.1716,0,22,4.946
143,99,0,0,13.7221,10.1916,0,24,11.236
144,99,0,0,13.7860,10.2116,0,20,5.160
145,99,1,1,13.7198,10.0280,0,24,5.132
146,99,1,1,13.6605,9.8453,0,22,5.382
