tick,population,births,deaths,avg_energy,avg_age,groups,neighbor_checks,tick_ms
0,100,0,0,11.2811,10.3064,0,84,5.509
1,100,0,0,11.3622,10.3264,0,84,5.411
2,100,0,0,11.4433,10.3464,0,84,5.939
3,100,0,0,11.5244,10.3664,0,84,5.015
4,100,0,0,11.6056,10.3864,0,84,5.297
5,100,0,0,11.6867,10.4064,0,84,5.794
6,100,0,0,11.7679,10.4264,0,84,5.202
7,100,0,0,11.8491,10.4464,0,84,5.816
8,100,0,0,11.9294,10.4664,0,86,5.239
9,100,0,0,12.0095,10.4864,0,88,5.019
10,100,0,0,12.0897,10.5064,0,84,6.309
11,100,0,0,12.1698,10.5264,0,80,6.638
12,100,0,0,12.2504,10.5464,0,78,5.022
13,100,0,0,12.3302,10.5664,0,78,6.413
14,100,0,0,12.4082,10.5864,0,80,5.326
15,100,0,0,12.4863,10.6064,0,78,4.967
16,100,0,0,12.5643,10.6264,0,76,5.692
17,100,0,0,12.6423,10.6464,0,74,6.375
18,100,0,0,12.7219,10.6664,0,74,4.953
19,100,0,0,12.7998,10.6864,0,74,6.383
20,100,0,0,12.8778,10.7064,0,72,5.127
21,100,0,0,12.9535,10.7264,0,72,4.940
22,100,0,0,13.0284,10.7464,0,70,6.086
23,100,0,0,13.1024,10.7664,0,70,6.143
24,100,0,0,13.1736,10.7864,0,70,5.217
25,100,0,0,13.2271,10.8064,0,66,5.774
26,100,0,0,13.2780,10.8264,0,60,4.882
27,100,0,0,13.3288,10.8464,0,58,5.010
28,100,0,0,13.3792,10.8664,0,58,5.803
29,100,0,0,13.4294,10.8864,0,60,6.454
30,100,0,0,13.4908,10.9064,0,58,4.917
31,100,0,0,13.5404,10.9264,0,54,5.804
32,100,0,0,13.5882,10.9464,0,50,4.895
33,100,0,0,13.6369,10.9664,0,50,4.817
34,100,0,0,13.6857,10.9864,0,54,5.690
35,100,0,0,13.7335,11.0064,0,48,6.208
36,100,0,0,13.7919,11.0264,0,48,4.892
37,100,0,0,13.8382,11.0464,0,48,6.173
38,100,1,1,13.8113,10.8644,0,48,4.867
39,100,0,0,13.8499,10.8844,0,48,4.852
40,100,0,0,13.8907,10.9044,0,48,5.479
41,100,0,0,13.9313,10.9244,0,48,6.419
42,100,0,0,13.9867,10.9444,0,48,5.118
43,100,0,0,14.0249,10.9644,0,48,5.718
44,100,0,0,14.0627,10.9844,0,48,4.947
45,100,0,0,14.0989,11.0044,0,50,4.839
46,100,0,0,14.1333,11.0244,0,48,5.141
47,100,0,0,14.1652,11.0444,0,52,6.469
48,100,0,0,14.2145,11.0644,0,52,5.063
49,100,0,0,14.2363,11.0844,0,50,5.059
50,100,0,0,14.2258,11.1044,0,52,5.411
51,100,0,0,14.2116,11.1244,0,52,4.744
52,100,1,1,14.1275,10.9438,0,54,4.776
53,100,1,1,14.0375,10.7614,0,52,6.709
54,100,0,0,14.0629,10.7814,0,52,4.928
55,100,0,0,14.0492,10.8014,0,48,4.880
56,100,0,0,14.0334,10.8214,0,46,5.733
57,100,0,0,14.0202,10.8414,0,44,4.693
58,100,0,0,14.0070,10.8614,0,40,4.725
59,100,0,0,13.9935,10.8814,0,38,7.150
60,100,1,1,13.9441,10.7012,0,38,4.899
61,100,0,0,13.9302,10.7212,0,38,4.715
62,100,0,0,13.9160,10.7412,0,38,5.808
63,100,1,1,13.8263,10.5610,0,34,4.716
64,100,0,0,13.8128,10.5810,0,36,4.713
65,100,1,1,13.7293,10.4009,0,38,6.928
66,100,0,0,13.7563,10.4209,0,42,4.942
67,100,0,0,13.7431,10.4409,0,40,4.708
68,100,0,0,13.7290,10.4609,0,34,5.560
69,100,0,0,13.7158,10.4809,0,30,5.051
70,100,0,0,13.7037,10.5009,0,28,4.693
71,100,0,0,13.6926,10.5209,0,28,6.442
72,100,0,0,13.7208,10.5409,0,28,5.160
73,100,0,0,13.7107,10.5609,0,28,4.670
74,100,0,0,13.7009,10.5809,0,28,4.829
75,100,0,0,13.6920,10.6009,0,28,5.038
76,100,0,0,13.6811,10.6209,0,26,4.809
77,100,0,0,13.6720,10.6409,0,28,6.073
78,100,1,1,13.6251,10.4604,0,28,5.519
79,100,0,0,13.6195,10.4804,0,28,4.711
80,100,0,0,13.6125,10.5004,0,26,4.685
81,99,0,1,13.5897,10.5276,0,24,5.112
82,99,0,0,13.5807,10.5476,0,24,4.648
83,99,0,0,13.5708,10.5676,0,22,5.949
84,99,0,0,13.5986,10.5876,0,26,6.955
85,99,0,0,13.5874,10.6076,0,26,4.650
86,99,0,0,13.5757,10.6276,0,24,4.610
87,99,0,0,13.5640,10.6476,0,20,6.295
88,99,0,0,13.5531,10.6676,0,18,4.771
89,99,0,0,13.5451,10.6876,0,18,5.849
90,99,0,0,13.5766,10.7076,0,18,5.592
91,99,0,0,13.5693,10.7276,0,18,4.682
92,99,0,0,13.5615,10.7476,0,10,4.603
93,99,0,0,13.5546,10.7676,0,12,4.705
94,99,0,0,13.5470,10.7876,0,8,5.739
95,99,0,0,13.5387,10.8076,0,8,5.834
96,99,0,0,13.5696,10.8276,0,8,4.830
97,99,0,0,13.5582,10.8476,0,10,5.805
98,99,0,0,13.5464,10.8676,0,10,4.597
99,99,0,0,13.5346,10.8876,0,8,4.573
100,99,0,0,13.5228,10.9076,0,8,5.367
101,99,0,0,13.5099,10.9276,0,10,5.855
102,99,0,0,13.5394,10.9476,0,10,4.794
103,99,0,0,13.5257,10.9676,0,8,5.610
104,99,0,0,13.5128,10.9876,0,8,4.743
105,99,0,0,13.5001,11.0076,0,6,4.597
106,99,0,0,13.4881,11.0276,0,6,5.326
107,99,0,0,13.4763,11.0476,0,6,5.999
108,99,0,0,13.5070,11.0676,0,6,4.751
109,99,0,0,13.4955,11.0876,0,6,4.876
110,98,0,1,13.4705,11.1830,0,6,5.093
111,98,0,0,13.4541,11.2030,0,10,4.683
112,98,1,1,13.3611,11.0160,0,10,4.582
113,98,0,0,13.3433,11.0360,0,10,6.247
114,98,0,0,13.3698,11.0560,0,8,4.719
115,98,0,0,13.3541,11.0760,0,8,4.529
116,98,0,0,13.3394,11.0960,0,8,5.138
117,98,0,0,13.3247,11.1160,0,8,4.554
118,98,0,0,13.3100,11.1360,0,8,4.660
119,98,0,0,13.2963,11.1560,0,10,6.411
120,98,0,0,13.3257,11.1760,0,8,5.067
121,98,0,0,13.3142,11.1960,0,6,4.554
122,98,0,0,13.3012,11.2160,0,6,4.578
123,98,0,0,13.2876,11.2360,0,8,4.924
124,98,0,0,13.2734,11.2560,0,10,4.577
125,98,0,0,13.2588,11.2760,0,10,5.868
126,98,0,0,13.2874,11.2960,0,10,5.197
127,98,0,0,13.2746,11.3160,0,12,4.528
128,98,0,0,13.2621,11.3360,0,10,4.592
129,98,0,0,13.2489,11.3560,0,10,4.713
130,98,0,0,13.2350,11.3760,0,12,4.828
131,98,0,0,13.2209,11.3960,0,12,5.779
132,98,0,0,13.2503,11.4160,0,10,4.879
133,98,0,0,13.2359,11.4360,0,12,4.924
134,98,0,0,13.2212,11.4560,0,10,4.539
135,98,0,0,13.2061,11.4760,0,12,4.570
136,98,0,0,13.1904,11.4960,0,12,5.049
137,98,0,0,13.1758,11.5160,0,8,5.763
138,98,0,0,13.2059,11.5360,0,8,4.713
139,98,1,1,13.1208,11.3516,0,8,4.854
140,98,0,0,13.1101,11.3716,0,8,4.764
141,98,0,0,13.0968,11.3916,0,8,4.607
142,98,0,0,13.0843,11.4116,0,8,4.503
143,98,0,0,13.0728,11.4316,0,6,6.378
144,98,0,0,13.1037,11.4516,0,6,4.722
145,98,0,0,13.0917,11.4716,0,8,4.537
146,98,0,0,13.0790,11.4916,0,8,5.246
147,98,0,0,13.0649,11.5116,0,6,4.539
148,98,0,0,13.0502,11.5316,0,6,4.542
149,98,0,0,13.0356,11.5516,0,6,6.246
150,98,0,0,13.0657,11.5716,0,6,5.061
151,98,0,0,13.0522,11.5916,0,6,4.574
152,98,1,1,12.9644,11.4074,1,6,4.621
153,98,0,0,12.9518,11.4274,1,6,5.448
154,98,0,0,12.9393,11.4474,1,6,4.605
155,98,0,0,12.9268,11.4674,1,6,5.809
156,98,0,0,12.9594,11.4874,1,4,5.404
157,98,0,0,12.9500,11.5074,1,6,4.599
158,98,0,0,12.9397,11.5274,1,6,4.573
159,98,0,0,12.9303,11.5474,1,6,5.952
160,98,0,0,12.9208,11.5674,1,6,4.880
161,98,0,0,12.9112,11.5874,1,6,5.833
162,98,0,0,12.9434,11.6074,1,4,5.914
163,98,0,0,12.9331,11.6274,1,4,4.684
164,98,0,0,12.9247,11.6474,1,4,4.585
165,98,0,0,12.9162,11.6674,1,4,4.660
166,98,0,0,12.9081,11.6874,1,4,5.025
167,98,0,0,12.8982,11.7074,1,2,6.015
168,98,0,0,12.9314,11.7274,1,0,4.760
169,98,0,0,12.9207,11.7474,1,2,5.062
170,98,0,0,12.9083,11.7674,1,4,4.575
171,98,0,0,12.8957,11.7874,1,4,4.583
172,98,1,1,12.8079,11.6026,1,4,5.227
173,98,0,0,12.7969,11.6226,1,6,6.015
174,98,0,0,12.8299,11.6426,1,6,4.918
175,98,0,0,12.8167,11.6626,1,6,4.899
176,98,0,0,12.8043,11.6826,1,6,4.839
177,98,0,0,12.7923,11.7026,1,6,4.655
178,98,0,0,12.7819,11.7226,1,6,4.678
179,98,0,0,12.7715,11.7426,1,4,6.408
180,98,0,0,12.8057,11.7626,1,4,4.807
181,98,0,0,12.7974,11.7826,1,2,4.707
182,98,0,0,12.7911,11.8026,1,4,5.326
183,98,0,0,12.7848,11.8226,1,4,4.603
184,98,0,0,12.7777,11.8426,1,6,4.637
185,98,0,0,12.7674,11.8626,1,6,6.443
186,98,0,0,12.8012,11.8826,1,6,4.789
187,98,0,0,12.7909,11.9026,1,6,4.575
188,98,0,0,12.7790,11.9226,1,6,6.076
189,98,0,0,12.7671,11.9426,1,4,5.335
190,98,0,0,12.7552,11.9626,1,4,4.628
191,98,0,0,12.7428,11.9826,1,4,6.568
192,98,0,0,12.7765,12.0026,1,4,5.340
193,98,0,0,12.7651,12.0226,1,8,4.592
194,98,0,0,12.7532,12.0426,1,8,4.876
195,98,0,0,12.7408,12.0626,1,6,5.352
196,98,0,0,12.7293,12.0826,1,4,4.735
197,98,0,0,12.7169,12.1026,1,4,5.961
198,98,0,0,12.7497,12.1226,1,4,5.043
199,98,0,0,12.7373,12.1426,1,4,4.551
