tick,population,births,deaths,avg_energy,avg_age,groups,neighbor_checks,tick_ms
0,240,0,0,9.6819,9.7835,0,616,9.509
1,240,0,0,9.7639,9.8035,0,620,9.076
2,240,0,0,9.8459,9.8235,0,620,8.636
3,240,0,0,9.9279,9.8435,0,624,8.936
4,240,0,0,10.0099,9.8635,0,626,8.528
5,240,0,0,10.0919,9.8835,0,622,10.687
6,240,0,0,10.1736,9.9035,0,616,8.769
7,240,0,0,10.2546,9.9235,0,614,9.329
8,240,0,0,10.3344,9.9435,0,612,8.829
9,240,0,0,10.4137,9.9635,0,610,9.321
10,240,0,0,10.4916,9.9835,0,614,9.159
11,240,0,0,10.5674,10.0035,0,608,10.317
12,240,0,0,10.6483,10.0235,0,600,10.231
13,240,0,0,10.7214,10.0435,0,598,8.715
14,240,0,0,10.7923,10.0635,0,598,9.924
15,240,0,0,10.8628,10.0835,0,594,8.776
16,240,0,0,10.9323,10.1035,0,596,9.090
17,240,0,0,11.0003,10.1235,0,586,11.727
18,240,0,0,11.0797,10.1435,0,586,8.603
19,240,0,0,11.1460,10.1635,0,582,9.969
20,240,0,0,11.2105,10.1835,0,582,8.687
21,240,0,0,11.2742,10.2035,0,586,9.620
22,240,0,0,11.3365,10.2235,0,590,8.723
23,240,0,0,11.3965,10.2435,0,584,11.140
24,240,0,0,11.4740,10.2635,0,580,10.376
25,240,0,0,11.5321,10.2835,0,580,8.506
26,240,0,0,11.5874,10.3035,0,576,10.089
27,240,0,0,11.6405,10.3235,0,578,8.658
28,240,0,0,11.6909,10.3435,0,576,9.318
29,240,0,0,11.7389,10.3635,0,572,11.724
30,240,1,1,11.7873,10.2998,0,571,8.804
31,240,0,0,11.8322,10.3198,0,562,9.304
32,240,0,0,11.8752,10.3398,0,558,8.427
33,240,0,0,11.9174,10.3598,0,554,8.980
34,240,0,0,11.9578,10.3798,0,564,8.702
35,240,1,1,11.9711,10.3163,0,562,11.194
36,240,0,0,12.0427,10.3363,0,558,9.059
37,240,1,1,12.0542,10.2699,0,550,8.731
38,240,0,0,12.0909,10.2899,0,560,8.933
39,240,0,0,12.1232,10.3099,0,564,8.585
40,240,0,0,12.1541,10.3299,0,564,8.943
41,240,0,0,12.1845,10.3499,0,556,10.701
42,240,0,0,12.2538,10.3699,0,546,9.330
43,239,0,1,12.2789,10.4255,0,544,8.410
44,239,0,0,12.3067,10.4455,0,518,9.169
45,239,0,0,12.3333,10.4655,0,520,8.421
46,239,0,0,12.3590,10.4855,0,518,8.596
47,239,0,0,12.3822,10.5055,0,518,11.101
48,239,0,0,12.4491,10.5255,0,510,8.681
49,239,0,0,12.4714,10.5455,0,508,8.924
50,239,0,0,12.4927,10.5655,0,504,8.345
51,239,0,0,12.5125,10.5855,0,498,8.770
52,239,0,0,12.5308,10.6055,0,492,8.288
53,239,0,0,12.5479,10.6255,0,490,11.731
54,239,3,3,12.5366,10.3935,0,488,9.545
55,239,0,0,12.5564,10.4135,0,486,8.890
56,239,0,0,12.5745,10.4335,0,490,8.841
57,239,1,1,12.5635,10.3694,0,486,8.464
58,239,0,0,12.5814,10.3894,0,484,9.217
