tick,population,births,deaths,avg_energy,avg_age,groups,neighbor_checks,tick_ms
0,100,0,0,9.6821,10.3064,0,118,6.311
1,100,0,0,9.7642,10.3264,0,118,6.196
2,100,0,0,9.8464,10.3464,0,118,6.640
3,100,0,0,9.9285,10.3664,0,118,6.415
4,100,0,0,10.0107,10.3864,0,118,8.630
5,100,0,0,10.0929,10.4064,0,116,6.841
6,100,0,0,10.1751,10.4264,0,116,12.207
7,100,0,0,10.2573,10.4464,0,116,6.363
8,100,0,0,10.3395,10.4664,0,114,6.191
9,100,0,0,10.4209,10.4864,0,114,5.478
10,100,0,0,10.5021,10.5064,0,116,5.301
11,100,0,0,10.5832,10.5264,0,118,10.026
12,100,0,0,10.6650,10.5464,0,116,5.701
13,100,0,0,10.7450,10.5664,0,114,7.446
14,100,0,0,10.8231,10.5864,0,112,5.477
15,100,0,0,10.9011,10.6064,0,110,6.170
16,100,0,0,10.9781,10.6264,0,110,7.376
17,100,0,0,11.0551,10.6464,0,112,9.773
18,100,0,0,11.1359,10.6664,0,112,5.683
19,100,0,0,11.2129,10.6864,0,114,5.255
20,100,0,0,11.2892,10.7064,0,114,7.576
21,100,0,0,11.3632,10.7264,0,114,6.249
22,100,0,0,11.4365,10.7464,0,112,6.484
23,100,0,0,11.5077,10.7664,0,110,11.164
24,100,0,0,11.5867,10.7864,0,106,5.415
25,100,0,0,11.6570,10.8064,0,108,7.922
26,100,0,0,11.7256,10.8264,0,106,5.554
27,100,0,0,11.7900,10.8464,0,102,7.327
28,100,1,1,11.7912,10.6608,0,98,5.454
29,100,0,0,11.8509,10.6808,0,94,12.712
30,100,0,0,11.9266,10.7008,0,94,6.410
31,100,0,0,11.9807,10.7208,0,94,6.888
32,100,0,0,12.0345,10.7408,0,92,5.607
33,100,0,0,12.0880,10.7608,0,88,5.225
34,100,0,0,12.1407,10.7808,0,84,7.672
35,100,0,0,12.1915,10.8008,0,84,11.420
36,100,0,0,12.2652,10.8208,0,88,6.596
37,100,0,0,12.3157,10.8408,0,86,5.384
38,100,0,0,12.3654,10.8608,0,86,7.593
39,100,0,0,12.4121,10.8808,0,84,6.372
40,100,1,1,12.3955,10.6980,0,82,5.706
41,100,0,0,12.4423,10.7180,0,80,11.582
42,100,0,0,12.5150,10.7380,0,78,5.268
43,100,1,1,12.4950,10.5576,0,72,8.044
44,100,0,0,12.5418,10.5776,0,72,5.911
45,100,0,0,12.5890,10.5976,0,66,7.017
46,100,0,0,12.6341,10.6176,0,68,5.473
47,100,0,0,12.6793,10.6376,0,68,11.765
48,100,0,0,12.7508,10.6576,0,68,6.173
49,100,0,0,12.7946,10.6776,0,62,5.554
50,100,1,1,12.7733,10.4974,0,66,7.032
51,100,0,0,12.8138,10.5174,0,64,5.403
52,100,0,0,12.8527,10.5374,0,64,5.583
53,100,0,0,12.8923,10.5574,0,64,14.110
54,100,0,0,12.9627,10.5774,0,62,6.458
55,100,0,0,13.0017,10.5974,0,62,5.637
56,100,0,0,13.0392,10.6174,0,66,5.574
57,100,1,1,13.0069,10.4364,0,64,8.270
58,100,0,0,13.0430,10.4564,0,64,6.481
59,100,1,1,13.0046,10.2763,0,66,12.047
60,100,0,0,13.0737,10.2963,0,66,5.798
61,100,0,0,13.1094,10.3163,0,68,6.369
62,100,0,0,13.1443,10.3363,0,68,5.990
63,100,1,1,13.1046,10.1562,0,66,7.875
64,100,0,0,13.1397,10.1762,0,68,7.707
65,100,0,0,13.1744,10.1962,0,68,14.877
66,100,0,0,13.2433,10.2162,0,68,7.225
67,100,0,0,13.2551,10.2362,0,62,7.035
68,100,0,0,13.2609,10.2562,0,56,6.065
69,100,1,1,13.2011,10.0752,0,54,9.509
70,100,0,0,13.2055,10.0952,0,50,7.022
71,100,0,0,13.2098,10.1152,0,50,14.028
72,100,0,0,13.2701,10.1352,0,52,8.618
73,100,0,0,13.2760,10.1552,0,50,9.588
74,100,0,0,13.2823,10.1752,0,46,10.382
75,100,0,0,13.2899,10.1952,0,46,6.481
76,100,0,0,13.2973,10.2152,0,42,9.532
77,100,0,0,13.3050,10.2352,0,38,15.328
78,100,1,1,13.2907,10.0548,0,42,6.732
79,100,0,0,13.3004,10.0748,0,44,7.191
80,100,0,0,13.3084,10.0948,0,42,10.190
81,100,0,0,13.3125,10.1148,0,40,7.235
82,100,0,0,13.3116,10.1348,0,38,6.844
83,100,0,0,13.3127,10.1548,0,36,14.680
84,100,0,0,13.3720,10.1748,0,32,7.738
85,100,0,0,13.3757,10.1948,0,34,10.266
86,100,0,0,13.3785,10.2148,0,36,7.135
87,100,0,0,13.3822,10.2348,0,36,8.385
88,100,0,0,13.3866,10.2548,0,38,7.446
89,100,0,0,13.3906,10.2748,0,34,18.279
90,100,0,0,13.4508,10.2948,0,34,9.884
91,100,0,0,13.4551,10.3148,0,32,8.555
92,100,0,0,13.4595,10.3348,0,32,7.267
93,100,0,0,13.4613,10.3548,0,30,7.114
94,100,0,0,13.4615,10.3748,0,26,7.693
95,100,0,0,13.4616,10.3948,0,22,17.955
96,100,0,0,13.5216,10.4148,0,22,9.993
97,100,1,1,13.4545,10.2341,0,20,8.683
98,100,0,0,13.4557,10.2541,0,22,8.274
99,100,0,0,13.4578,10.2741,0,24,7.227
100,100,0,0,13.4591,10.2941,0,22,8.572
101,100,1,1,13.3806,10.1135,0,24,18.151
102,100,0,0,13.4417,10.1335,0,22,9.185
