tick,population,births,deaths,avg_energy,avg_age,groups,neighbor_checks,tick_ms
0,200,0,0,13.4029,10.0004,0,302,10.600
1,200,0,0,13.5059,10.0204,0,302,8.712
2,200,0,0,13.6089,10.0404,0,300,9.748
3,200,0,0,13.7119,10.0604,0,300,9.437
4,200,0,0,13.8149,10.0804,0,304,8.779
5,200,0,0,13.9179,10.1004,0,306,9.676
6,200,0,0,14.0209,10.1204,0,302,8.885
7,201,1,0,14.0437,10.0900,0,302,8.901
8,201,0,0,14.1462,10.1100,0,312,8.714
9,201,0,0,14.2486,10.1300,0,312,11.370
10,201,0,0,14.3509,10.1500,0,306,8.781
11,201,0,0,14.4532,10.1700,0,300,10.360
12,201,0,0,14.5560,10.1900,0,300,9.522
13,201,0,0,14.6576,10.2100,0,302,8.974
14,201,0,0,14.7586,10.2300,0,302,9.359
15,201,0,0,14.8595,10.2500,0,288,9.285
16,201,0,0,14.9604,10.2700,0,290,8.730
17,201,0,0,15.0605,10.2900,0,286,9.762
18,201,0,0,15.1618,10.3100,0,286,8.736
19,201,0,0,15.2603,10.3300,0,284,9.132
20,201,0,0,15.3587,10.3500,0,284,9.989
21,202,1,0,15.3703,10.3186,0,282,8.801
22,202,0,0,15.4676,10.3386,0,286,9.115
23,202,0,0,15.5603,10.3586,0,280,9.727
24,202,0,0,15.6579,10.3786,0,280,8.750
25,202,0,0,15.7487,10.3986,0,278,8.741
26,202,0,0,15.8383,10.4186,0,276,8.632
27,202,0,0,15.9271,10.4386,0,272,8.901
28,202,0,0,16.0165,10.4586,0,266,8.765
29,202,0,0,16.1045,10.4786,0,262,9.491
30,203,1,0,16.1110,10.4469,0,264,8.769
31,203,0,0,16.1966,10.4669,0,278,8.790
32,203,0,0,16.2778,10.4869,0,274,8.752
33,203,0,0,16.3538,10.5069,0,268,8.699
34,204,1,0,16.3355,10.4753,0,254,9.041
35,204,0,0,16.3959,10.4953,0,258,9.583
36,206,2,0,16.2988,10.4132,0,256,8.907
37,206,0,0,16.3548,10.4332,0,268,10.778
38,205,0,1,16.4088,10.4392,0,272,8.741
39,205,0,0,16.4666,10.4592,0,264,8.918
40,205,0,0,16.5221,10.4792,0,258,8.920
41,205,0,0,16.5751,10.4992,0,258,9.818
42,206,1,0,16.5676,10.4682,0,244,9.712
43,206,0,0,16.6209,10.4882,0,246,9.379
44,206,0,0,16.6742,10.5082,0,246,8.937
45,206,0,0,16.7251,10.5282,0,236,8.956
46,206,0,0,16.7736,10.5482,0,234,8.750
47,206,0,0,16.8185,10.5682,0,236,9.560
48,206,0,0,16.9002,10.5882,0,232,9.075
49,206,0,0,16.9435,10.6082,0,228,8.673
50,207,1,0,16.8928,10.5768,0,236,8.669
51,207,0,0,16.9321,10.5968,0,244,8.742
52,206,0,1,16.9631,10.6479,0,242,8.741
53,206,0,0,17.0025,10.6679,0,244,9.536
54,206,0,0,17.0822,10.6879,0,248,8.959
55,206,0,0,17.1192,10.7079,0,236,9.013
56,207,1,0,17.0635,10.6761,0,234,8.681
57,208,1,0,17.0058,10.6447,0,232,8.881
58,208,0,0,17.0382,10.6647,0,232,8.770
59,209,1,0,16.9805,10.6335,0,228,9.672
60,210,1,0,16.9670,10.6028,0,224,8.944
61,211,1,0,16.9078,10.5725,0,228,9.025
62,211,0,0,16.9370,10.5925,0,234,9.062
63,212,1,0,16.8740,10.5624,0,228,8.944
64,212,0,0,16.8968,10.5824,0,224,8.854
65,212,0,0,16.9202,10.6024,0,218,9.806
66,212,0,0,16.9945,10.6224,0,220,9.137
67,213,1,0,16.9263,10.5924,0,216,8.977
68,213,0,0,16.9460,10.6124,0,214,8.998
69,213,0,0,16.9633,10.6324,0,212,9.201
70,213,0,0,16.9775,10.6524,0,206,8.859
71,213,0,0,16.9910,10.6724,0,198,9.705
72,213,0,0,17.0610,10.6924,0,202,9.190
73,213,0,0,17.0673,10.7124,0,196,8.934
74,213,0,0,17.0637,10.7324,0,198,8.738
75,213,0,0,17.0527,10.7524,0,198,9.591
76,213,0,0,17.0425,10.7724,0,192,8.952
77,214,1,0,16.9441,10.7420,0,196,10.468
78,215,1,0,16.9221,10.7120,0,198,10.215
79,215,0,0,16.9154,10.7320,0,202,9.022
80,215,0,0,16.9098,10.7520,0,202,9.416
81,215,0,0,16.9037,10.7720,0,202,8.839
82,215,0,0,16.8976,10.7920,0,200,8.802
83,215,0,0,16.8901,10.8120,0,206,9.912
84,214,0,1,16.9942,10.7868,0,200,9.051
85,214,0,0,16.9882,10.8068,0,202,8.821
86,214,0,0,16.9833,10.8268,0,196,8.740
87,214,0,0,16.9786,10.8468,0,198,8.954
88,214,0,0,16.9731,10.8668,0,204,8.754
89,214,0,0,16.9664,10.8868,0,202,10.046
90,214,0,0,17.0334,10.9068,0,198,11.744
91,214,0,0,17.0258,10.9268,0,198,10.253
92,214,0,0,17.0183,10.9468,0,198,9.700
93,215,1,0,16.9223,10.9157,0,200,8.849
94,216,1,0,16.8275,10.8851,0,206,8.857
