tick,population,births,deaths,avg_energy,avg_age,groups,neighbor_checks,tick_ms
0,10,0,0,9.6822,6.9765,0,4,2.150
1,10,0,0,9.7644,6.9965,0,4,0.986
2,10,0,0,9.8466,7.0165,0,4,0.486
3,10,0,0,9.9289,7.0365,0,4,0.472
4,10,0,0,10.0112,7.0565,0,4,0.471
5,10,0,0,10.0895,7.0765,0,4,0.556
6,10,0,0,10.1604,7.0965,0,4,0.478
7,10,0,0,10.2256,7.1165,0,4,0.469
8,10,0,0,10.2905,7.1365,0,4,0.495
9,10,0,0,10.3556,7.1565,0,4,0.536
10,10,0,0,10.4207,7.1765,0,4,0.536
11,10,0,0,10.4857,7.1965,0,4,0.531
12,10,0,0,10.5507,7.2165,0,4,0.541
13,10,0,0,10.6157,7.2365,0,4,0.552
14,10,0,0,10.6806,7.2565,0,4,0.610
15,10,0,0,10.7455,7.2765,0,4,0.642
16,10,0,0,10.8104,7.2965,0,4,0.644
17,10,0,0,10.8752,7.3165,0,4,0.590
18,10,0,0,10.9399,7.3365,0,4,0.589
19,10,0,0,11.0046,7.3565,0,4,0.593
20,10,0,0,11.0693,7.3765,0,2,0.641
21,10,0,0,11.1341,7.3965,0,2,0.593
22,10,0,0,11.1988,7.4165,0,2,0.751
23,10,0,0,11.2634,7.4365,0,2,0.686
24,10,0,0,11.3281,7.4565,0,2,0.680
25,10,0,0,11.3927,7.4765,0,2,2.018
26,10,0,0,11.4574,7.4965,0,2,2.473
27,10,0,0,11.5220,7.5165,0,2,1.753
28,10,0,0,11.5866,7.5365,0,2,1.637
29,10,0,0,11.6512,7.5565,0,2,1.391
30,10,0,0,11.7158,7.5765,0,2,1.281
31,10,0,0,11.7803,7.5965,0,2,1.093
32,10,0,0,11.8449,7.6165,0,2,0.974
33,10,0,0,11.9094,7.6365,0,2,1.001
34,10,0,0,11.9739,7.6565,0,2,0.942
35,10,0,0,12.0378,7.6765,0,2,1.097
36,10,0,0,12.0933,7.6965,0,2,0.800
37,10,0,0,12.1489,7.7165,0,2,0.796
38,10,0,0,12.2044,7.7365,0,2,1.074
39,10,0,0,12.2599,7.7565,0,4,0.870
40,10,0,0,12.3153,7.7765,0,4,0.886
41,10,0,0,12.3708,7.7965,0,4,0.875
42,10,0,0,12.4262,7.8165,0,4,0.886
43,10,0,0,12.4817,7.8365,0,4,0.892
44,10,0,0,12.5371,7.8565,0,4,0.896
45,10,0,0,12.5925,7.8765,0,4,0.892
46,10,0,0,12.6445,7.8965,0,4,0.924
47,10,0,0,12.6912,7.9165,0,4,0.965
48,10,0,0,12.7379,7.9365,0,4,0.966
49,10,0,0,12.7845,7.9565,0,4,0.972
50,10,0,0,12.8312,7.9765,0,2,0.972
51,10,0,0,12.8780,7.9965,0,2,1.192
52,10,0,0,12.9248,8.0165,0,2,2.500
53,10,0,0,12.9716,8.0365,0,2,3.796
54,10,0,0,13.0138,8.0565,0,2,1.261
55,10,0,0,13.0519,8.0765,0,2,1.022
56,10,0,0,13.0900,8.0965,0,2,1.046
57,10,0,0,13.1274,8.1165,0,2,1.098
58,10,0,0,13.1567,8.1365,0,2,1.145
59,10,0,0,13.1859,8.1565,0,2,1.151
60,10,0,0,13.2238,8.1765,0,2,1.525
61,10,0,0,13.2617,8.1965,0,2,1.372
62,10,0,0,13.2997,8.2165,0,2,1.550
63,10,0,0,13.3377,8.2365,0,2,1.276
64,10,0,0,13.3734,8.2565,0,2,1.526
65,10,0,0,13.4025,8.2765,0,2,1.333
66,10,0,0,13.4295,8.2965,0,2,1.220
67,10,0,0,13.4499,8.3165,0,0,1.221
68,10,0,0,13.4704,8.3365,0,0,1.217
69,10,0,0,13.4909,8.3565,0,0,1.247
70,10,0,0,13.5114,8.3765,0,0,1.294
71,10,0,0,13.5320,8.3965,0,0,1.286
72,10,0,0,13.5526,8.4165,0,0,1.618
73,10,0,0,13.5733,8.4365,0,0,1.506
74,10,0,0,13.5940,8.4565,0,0,1.366
75,10,0,0,13.6147,8.4765,0,0,2.287
76,10,0,0,13.6355,8.4965,0,0,2.099
77,10,0,0,13.6563,8.5165,0,0,1.601
78,10,0,0,13.6772,8.5365,0,0,1.434
79,10,0,0,13.6982,8.5565,0,0,1.487
80,10,0,0,13.7191,8.5765,0,0,1.544
81,10,0,0,13.7402,8.5965,0,0,1.515
82,10,0,0,13.7578,8.6165,0,0,1.527
83,10,0,0,13.7736,8.6365,0,0,1.516
84,10,0,0,13.7859,8.6565,0,0,4.125
85,10,0,0,13.8071,8.6765,0,0,6.921
86,10,0,0,13.8257,8.6965,0,0,2.087
87,10,0,0,13.8382,8.7165,0,0,1.601
88,10,0,0,13.8507,8.7365,0,0,1.645
89,10,0,0,13.8632,8.7565,0,0,1.732
90,10,0,0,13.8674,8.7765,0,0,2.980
91,10,0,0,13.8797,8.7965,0,0,2.319
92,10,0,0,13.8920,8.8165,0,0,1.696
93,10,0,0,13.9043,8.8365,0,0,1.677
94,10,0,0,13.9256,8.8565,0,0,1.674
95,10,0,0,13.9468,8.8765,0,0,1.682
96,10,0,0,13.9681,8.8965,0,0,1.907
97,10,0,0,13.9841,8.9165,0,0,1.844
98,10,0,0,13.9969,8.9365,0,0,2.726
99,10,0,0,14.0116,8.9565,0,0,2.837
100,10,0,0,14.0243,8.9765,0,0,1.910
101,10,0,0,14.0370,8.9965,0,0,1.885
102,10,0,0,14.0497,9.0165,0,0,1.951
103,10,0,0,14.0567,9.0365,0,0,2.131
104,10,0,0,14.0606,9.0565,0,0,1.947
105,10,0,0,14.0645,9.0765,0,0,2.076
106,10,0,0,14.0685,9.0965,0,0,3.417
107,10,0,0,14.0724,9.1165,0,0,2.285
108,10,0,0,14.0743,9.1365,0,0,2.013
109,10,0,0,14.0694,9.1565,0,0,1.989
110,10,0,0,14.0646,9.1765,0,0,1.989
111,10,0,0,14.0599,9.1965,0,0,2.003
112,10,0,0,14.0551,9.2165,0,0,2.013
113,10,0,0,14.0503,9.2365,0,0,2.683
114,10,0,0,14.0456,9.2565,0,0,2.588
115,10,0,0,14.0409,9.2765,0,0,2.149
116,10,0,0,14.0362,9.2965,0,0,2.177
117,10,0,0,14.0315,9.3165,0,2,2.201
118,10,0,0,14.0357,9.3365,0,2,2.236
119,10,0,0,14.0399,9.3565,0,2,2.424
120,10,0,0,14.0441,9.3765,0,2,3.484
121,10,0,0,14.0484,9.3965,0,2,3.040
122,10,0,0,14.0527,9.4165,0,2,2.337
123,10,0,0,14.0570,9.4365,0,2,2.317
124,10,0,0,14.0613,9.4565,0,2,2.367
125,10,0,0,14.0656,9.4765,0,2,2.361
126,10,0,0,14.0700,9.4965,0,2,9.995
127,10,0,0,14.0830,9.5165,0,2,6.417
128,10,0,0,14.0905,9.5365,0,2,5.431
129,10,0,0,14.0947,9.5565,0,0,2.883
130,10,0,0,14.0989,9.5765,0,0,2.471
131,10,0,0,14.1120,9.5965,0,0,2.442
132,10,0,0,14.1250,9.6165,0,0,2.546
133,10,0,0,14.1381,9.6365,0,0,2.530
134,10,0,0,14.1511,9.6565,0,0,4.075
135,10,0,0,14.1642,9.6765,0,0,2.588
136,10,0,0,14.1772,9.6965,0,0,2.532
137,10,0,0,14.1903,9.7165,0,0,2.627
138,10,0,0,14.2022,9.7365,0,0,2.884
139,10,0,0,14.2064,9.7565,0,0,2.848
