tick,population,births,deaths,avg_energy,avg_age,groups,neighbor_checks,tick_ms,pheromone_keys
0,120,0,0,9.6818,10.2716,2,252,5.770,0
1,120,0,0,9.7621,10.2916,4,256,6.780,0
2,120,0,0,9.8418,10.3116,4,256,6.368,0
3,120,0,0,9.9178,10.3316,4,254,6.076,0
4,120,0,0,9.9926,10.3516,7,250,7.150,0
5,120,0,0,10.0667,10.3716,7,246,6.389,0
6,120,0,0,10.1403,10.3916,8,244,6.856,0
7,120,0,0,10.2120,10.4116,8,246,7.562,0
8,120,0,0,10.2826,10.4316,8,248,6.781,0
9,120,0,0,10.3508,10.4516,9,250,7.554,0
10,120,0,0,10.4184,10.4716,9,252,6.926,0
11,120,0,0,10.4859,10.4916,9,252,8.115,0
12,120,0,0,10.5527,10.5116,9,250,6.980,0
13,120,0,0,10.6198,10.5316,10,250,7.555,0
14,120,0,0,10.6857,10.5516,11,250,7.387,0
15,119,0,1,10.7482,10.5234,11,248,7.682,0
16,119,0,0,10.8106,10.5434,11,250,7.807,0
17,119,0,0,10.8734,10.5634,11,252,7.761,0
18,119,0,0,10.9348,10.5834,11,250,8.753,0
19,119,0,0,10.9942,10.6034,11,252,7.786,0
20,119,0,0,11.0528,10.6234,11,252,8.729,0
21,119,0,0,11.1091,10.6434,11,258,7.966,0
22,119,0,0,11.1648,10.6634,11,258,8.471,0
23,119,0,0,11.2169,10.6834,11,262,8.098,0
24,119,0,0,11.2681,10.7034,12,264,8.480,0
25,119,0,0,11.3179,10.7234,12,260,8.207,0
26,119,0,0,11.3660,10.7434,12,258,8.862,0
27,119,0,0,11.4123,10.7634,12,256,8.943,0
28,119,0,0,11.4575,10.7834,12,258,8.160,0
29,119,1,1,11.4536,10.6340,12,259,8.847,5
30,119,1,1,11.4499,10.4840,13,260,8.354,14
31,119,0,0,11.4958,10.5040,13,260,9.273,21
32,119,0,0,11.5415,10.5240,13,258,8.271,25
33,119,0,0,11.5865,10.5440,14,258,9.495,25
34,119,0,0,11.6292,10.5640,14,264,8.468,25
35,119,0,0,11.6725,10.5840,14,264,9.481,25
36,119,0,0,11.7100,10.6040,14,266,8.540,25
37,119,0,0,11.7451,10.6240,14,262,8.984,25
38,119,0,0,11.7791,10.6440,14,266,8.570,25
39,119,0,0,11.8124,10.6640,14,268,9.054,25
40,119,0,0,11.8412,10.6840,14,270,8.772,25
41,119,0,0,11.8690,10.7040,14,268,9.385,25
42,119,0,0,11.8940,10.7240,14,272,9.306,25
43,119,0,0,11.9160,10.7440,14,272,8.940,25
44,119,0,0,11.9377,10.7640,14,268,9.625,25
45,119,1,1,11.9065,10.6159,15,264,8.778,30
46,119,0,0,11.9280,10.6359,15,264,9.692,34
47,119,0,0,11.9478,10.6559,15,270,8.714,38
48,119,0,0,11.9680,10.6759,15,264,9.690,38
49,119,0,0,11.9871,10.6959,15,258,8.943,38
50,119,0,0,12.0073,10.7159,15,262,9.865,38
51,119,0,0,12.0263,10.7359,15,260,9.548,38
52,119,1,1,11.9886,10.5872,15,260,8.886,43
53,119,0,0,12.0102,10.6072,15,266,9.306,49
54,119,0,0,12.0306,10.6272,15,264,8.731,55
55,119,0,0,12.0511,10.6472,15,262,10.119,63
56,119,0,0,12.0735,10.6672,15,266,8.803,63
57,119,0,0,12.0958,10.6872,15,272,9.437,63
58,119,0,0,12.1194,10.7072,15,274,9.587,63
59,119,0,0,12.1443,10.7272,15,278,9.241,63
60,119,0,0,12.1664,10.7472,15,276,9.933,63
61,119,0,0,12.1844,10.7672,15,274,8.994,63
62,119,0,0,12.2032,10.7872,15,274,9.522,63
63,119,0,0,12.2209,10.8072,15,274,9.718,63
64,119,0,0,12.2422,10.8272,15,272,9.732,63
65,119,0,0,12.2633,10.8472,15,272,9.859,63
66,119,0,0,12.2839,10.8672,15,268,9.185,63
67,119,0,0,12.3024,10.8872,15,270,9.643,63
68,119,0,0,12.3167,10.9072,15,270,8.970,63
69,119,2,2,12.2156,10.5909,16,268,9.622,73
70,119,0,0,12.2279,10.6109,16,276,9.140,89
71,119,1,1,12.1839,10.4626,16,273,9.604,97
72,119,0,0,12.1977,10.4826,16,272,9.799,97
73,119,0,0,12.2108,10.5026,16,270,10.047,97
74,119,0,0,12.2281,10.5226,16,268,9.933,97
75,119,0,0,12.2473,10.5426,16,272,8.989,99
76,119,0,0,12.2653,10.5626,16,266,10.188,103
77,119,1,1,12.2318,10.4144,16,265,10.349,113
78,119,0,0,12.2520,10.4344,16,266,9.355,117
79,119,0,0,12.2704,10.4544,16,266,11.025,121
80,119,0,0,12.2910,10.4744,16,266,9.068,121
81,119,0,0,12.3085,10.4944,16,268,10.104,121
82,119,0,0,12.3221,10.5144,16,266,9.401,121
83,119,0,0,12.3327,10.5344,16,268,9.382,121
84,119,0,0,12.3434,10.5544,16,266,10.165,121
85,119,0,0,12.3538,10.5744,16,272,9.257,121
86,119,0,0,12.3625,10.5944,16,274,11.603,121
87,119,0,0,12.3700,10.6144,16,272,9.752,121
88,119,0,0,12.3771,10.6344,16,272,9.474,121
89,119,0,0,12.3823,10.6544,16,276,9.844,121
90,119,0,0,12.3860,10.6744,16,274,9.109,121
91,119,0,0,12.3887,10.6944,16,276,9.726,125
92,119,0,0,12.3908,10.7144,16,276,9.375,126
93,119,1,1,12.3276,10.5648,16,278,9.898,126
94,119,0,0,12.3298,10.5848,16,280,9.907,142
95,119,0,0,12.3330,10.6048,16,282,9.395,142
96,119,0,0,12.3369,10.6248,16,284,10.244,142
97,119,0,0,12.3418,10.6448,16,280,9.381,142
98,119,0,0,12.3472,10.6648,16,280,10.308,144
99,119,0,0,12.3542,10.6848,16,282,9.792,144
100,119,0,0,12.3623,10.7048,16,282,9.500,144
101,119,0,0,12.3696,10.7248,16,280,11.815,144
102,119,0,0,12.3797,10.7448,16,280,9.285,152
103,119,0,0,12.3905,10.7648,16,280,10.058,152
104,119,0,0,12.4011,10.7848,16,280,9.669,152
105,119,0,0,12.4151,10.8048,16,280,9.372,152
106,119,0,0,12.4292,10.8248,16,278,10.186,152
107,119,0,0,12.4419,10.8448,16,278,9.251,152
108,120,1,0,12.2832,10.7742,16,278,10.174,152
109,120,0,0,12.2929,10.7942,16,282,10.033,152
110,120,0,0,12.3023,10.8142,16,286,9.775,152
111,120,0,0,12.3099,10.8342,16,284,10.264,152
112,120,0,0,12.3176,10.8542,16,288,9.472,152
113,120,0,0,12.3252,10.8742,16,284,10.570,152
114,120,0,0,12.3324,10.8942,16,286,9.716,152
115,120,0,0,12.3386,10.9142,16,286,9.662,160
116,120,0,0,12.3466,10.9342,16,286,9.953,160
117,120,0,0,12.3537,10.9542,16,292,9.309,160
118,120,0,0,12.3607,10.9742,16,292,10.005,160
119,120,0,0,12.3705,10.9942,16,296,9.455,160
120,120,0,0,12.3810,11.0142,16,298,10.119,160
121,120,0,0,12.3884,11.0342,16,298,10.326,160
122,120,0,0,12.3957,11.0542,16,298,9.307,160
123,120,0,0,12.4039,11.0742,16,300,10.265,164
124,120,0,0,12.4099,11.0942,16,300,11.159,164
125,120,0,0,12.4141,11.1142,16,298,15.596,164
126,120,0,0,12.4196,11.1342,16,298,13.642,164
127,120,0,0,12.4255,11.1542,16,300,14.738,164
128,120,0,0,12.4311,11.1742,16,298,12.589,164
129,120,0,0,12.4374,11.1942,16,300,16.234,164
130,120,0,0,12.4427,11.2142,16,306,16.238,167
131,120,0,0,12.4475,11.2342,16,310,11.473,169
132,119,0,1,12.5570,11.1753,16,307,12.962,169
133,119,0,0,12.5603,11.1953,16,310,11.052,169
134,119,0,0,12.5622,11.2153,16,306,10.724,169
135,119,0,0,12.5629,11.2353,16,304,10.389,169
136,119,0,0,12.5647,11.2553,17,304,10.494,169
137,119,0,0,12.5697,11.2753,17,302,10.335,169
138,119,0,0,12.5770,11.2953,17,300,9.651,169
139,119,0,0,12.5840,11.3153,17,302,10.156,169
140,119,0,0,12.5915,11.3353,17,304,9.468,169
141,119,0,0,12.5990,11.3553,17,308,10.766,169
142,119,0,0,12.6065,11.3753,17,308,10.487,169
143,119,0,0,12.6139,11.3953,17,308,9.875,169
144,119,0,0,12.6213,11.4153,17,316,10.731,169
145,119,0,0,12.6282,11.4353,17,318,9.562,169
146,119,0,0,12.6363,11.4553,17,320,10.245,174
147,119,0,0,12.6441,11.4753,17,322,10.803,174
148,119,0,0,12.6530,11.4953,17,324,9.932,175
149,119,0,0,12.6643,11.5153,17,322,10.244,175
150,120,1,0,12.5056,11.4391,17,318,11.351,176
151,120,0,0,12.5217,11.4591,17,318,11.469,183
152,120,0,0,12.5349,11.4791,17,320,11.929,184
153,120,0,0,12.5499,11.4991,17,318,10.691,185
154,120,0,0,12.5658,11.5191,17,318,9.885,185
155,120,0,0,12.5815,11.5391,17,316,10.477,185
156,120,0,0,12.5967,11.5591,16,318,10.139,160
157,120,0,0,12.6114,11.5791,16,322,9.711,160
158,120,0,0,12.6217,11.5991,16,322,10.059,160
159,120,0,0,12.6314,11.6191,16,316,9.517,160
160,120,1,1,12.5761,11.4721,16,316,10.158,160
161,120,0,0,12.5839,11.4921,16,316,9.610,160
162,120,0,0,12.5948,11.5121,16,320,9.924,160
163,120,0,0,12.6057,11.5321,16,322,10.301,160
164,120,0,0,12.6172,11.5521,16,322,10.184,160
165,120,0,0,12.6284,11.5721,16,322,10.277,162
166,120,0,0,12.6370,11.5921,16,324,9.955,168
167,120,1,1,12.5946,11.4316,16,328,9.838,174
168,120,0,0,12.6021,11.4516,16,332,10.258,178
169,120,0,0,12.6121,11.4716,16,330,9.448,182
170,120,0,0,12.6195,11.4916,16,332,12.171,186
171,120,0,0,12.6271,11.5116,16,332,10.790,186
172,120,0,0,12.6351,11.5316,16,332,9.965,186
173,120,0,0,12.6438,11.5516,17,332,10.646,190
174,120,0,0,12.6539,11.5716,17,332,10.943,190
175,120,0,0,12.6653,11.5916,17,334,11.287,190
176,120,0,0,12.6775,11.6116,17,332,10.966,190
177,120,0,0,12.6905,11.6316,17,330,10.415,190
178,120,0,0,12.7014,11.6516,17,332,9.799,194
179,120,0,0,12.7117,11.6716,17,328,10.316,194
180,120,0,0,12.7217,11.6916,17,330,9.765,194
181,121,1,0,12.5596,11.6148,18,330,11.119,199
182,121,1,1,12.5197,11.4643,18,328,10.988,208
183,121,0,0,12.5311,11.4843,18,332,9.739,216
184,121,0,0,12.5407,11.5043,18,330,10.773,220
185,121,0,0,12.5525,11.5243,18,330,10.327,220
186,121,0,0,12.5659,11.5443,18,330,9.891,220
187,121,0,0,12.5802,11.5643,18,330,10.725,220
