tick,population,births,deaths,avg_energy,avg_age,groups,neighbor_checks,tick_ms
0,20,0,0,9.6822,11.1793,0,2,1.212
1,20,0,0,9.7645,11.1993,0,2,0.849
2,20,0,0,9.8467,11.2193,0,2,0.887
3,20,0,0,9.9291,11.2393,0,2,0.951
4,20,0,0,10.0114,11.2593,0,2,1.022
5,20,0,0,10.0938,11.2793,0,2,0.912
6,20,0,0,10.1762,11.2993,0,2,0.762
7,20,0,0,10.2587,11.3193,0,2,0.733
8,20,0,0,10.3412,11.3393,0,2,0.737
9,20,0,0,10.4237,11.3593,0,2,0.727
10,20,0,0,10.5062,11.3793,0,2,0.733
11,20,0,0,10.5888,11.3993,0,2,0.732
12,20,0,0,10.6714,11.4193,0,2,0.746
13,20,0,0,10.7540,11.4393,0,2,0.742
14,20,0,0,10.8367,11.4593,0,2,0.745
15,20,0,0,10.9193,11.4793,0,2,0.743
16,20,0,0,11.0021,11.4993,0,2,0.740
17,20,0,0,11.0848,11.5193,0,2,0.748
18,20,0,0,11.1675,11.5393,0,2,0.742
19,20,0,0,11.2503,11.5593,0,2,0.736
20,20,0,0,11.3332,11.5793,0,0,0.737
21,20,0,0,11.4160,11.5993,0,0,0.732
22,20,0,0,11.4989,11.6193,0,0,0.725
23,20,0,0,11.5818,11.6393,0,0,1.000
24,20,0,0,11.6648,11.6593,0,0,1.170
25,20,0,0,11.7478,11.6793,0,0,1.114
26,20,0,0,11.8308,11.6993,0,0,0.800
27,20,0,0,11.9139,11.7193,0,0,0.738
28,20,0,0,11.9969,11.7393,0,0,0.731
29,20,0,0,12.0800,11.7593,0,0,0.752
30,20,0,0,12.1631,11.7793,0,0,0.735
31,20,0,0,12.2462,11.7993,0,0,0.728
32,20,0,0,12.3294,11.8193,0,0,0.735
33,20,0,0,12.4125,11.8393,0,0,0.775
34,20,0,0,12.4956,11.8593,0,0,0.761
35,20,0,0,12.5787,11.8793,0,0,0.736
36,20,0,0,12.6619,11.8993,0,0,0.730
37,20,0,0,12.7450,11.9193,0,0,0.736
38,20,0,0,12.8281,11.9393,0,0,0.744
39,20,0,0,12.9113,11.9593,0,0,0.739
40,20,0,0,12.9944,11.9793,0,0,0.736
41,20,0,0,13.0776,11.9993,0,0,0.739
42,20,0,0,13.1607,12.0193,0,0,0.783
43,20,0,0,13.2439,12.0393,0,0,0.766
44,20,0,0,13.3270,12.0593,0,0,0.894
45,20,1,1,13.0750,11.0757,0,0,0.962
