tick,population,births,deaths,avg_energy,avg_age,groups,neighbor_checks,tick_ms
0,100,0,0,9.6821,10.0251,1,158,4.893
1,100,0,0,9.7642,10.0451,2,160,9.048
2,100,0,0,9.8463,10.0651,3,162,9.454
3,100,0,0,9.9264,10.0851,4,162,8.583
4,100,0,0,10.0054,10.1051,4,164,5.426
5,100,0,0,10.0834,10.1251,5,164,6.151
6,100,0,0,10.1610,10.1451,5,164,5.170
7,100,0,0,10.2379,10.1651,5,164,5.150
8,100,0,0,10.3147,10.1851,5,160,6.280
9,100,0,0,10.3918,10.2051,5,160,5.942
10,100,0,0,10.4662,10.2251,5,160,5.872
11,100,0,0,10.5391,10.2451,5,160,6.792
12,100,0,0,10.6108,10.2651,5,160,6.587
13,100,0,0,10.6814,10.2851,6,160,30.917
14,100,0,0,10.7498,10.3051,6,162,13.318
15,100,0,0,10.8165,10.3251,6,162,14.631
16,100,0,0,10.8808,10.3451,6,162,9.453
17,100,0,0,10.9425,10.3651,6,164,9.711
18,100,0,0,11.0025,10.3851,6,170,6.128
19,100,0,0,11.0616,10.4051,6,170,6.785
20,100,0,0,11.1190,10.4251,6,170,6.353
21,100,0,0,11.1747,10.4451,6,170,6.374
22,100,0,0,11.2299,10.4651,6,172,8.585
23,100,0,0,11.2866,10.4851,6,174,7.290
24,100,0,0,11.3420,10.5051,6,174,8.024
25,100,0,0,11.3937,10.5251,6,174,7.293
26,100,0,0,11.4430,10.5451,6,178,12.680
27,100,0,0,11.4899,10.5651,6,176,10.343
28,100,0,0,11.5351,10.5851,6,180,7.645
29,100,0,0,11.5791,10.6051,6,184,8.129
30,100,1,1,11.5602,10.4198,6,184,7.039
31,100,0,0,11.6009,10.4398,7,184,7.808
32,100,0,0,11.6399,10.4598,7,186,7.455
33,100,0,0,11.6740,10.4798,7,190,7.726
34,100,0,0,11.7073,10.4998,7,194,7.793
35,100,0,0,11.7414,10.5198,7,192,7.391
36,100,0,0,11.7760,10.5398,7,188,7.707
37,100,0,0,11.8121,10.5598,7,186,7.301
38,100,0,0,11.8470,10.5798,7,190,10.377
39,100,0,0,11.8811,10.5998,7,186,7.719
40,100,0,0,11.9162,10.6198,7,186,8.456
41,100,0,0,11.9508,10.6398,7,182,7.437
42,100,0,0,11.9861,10.6598,7,186,8.088
43,100,0,0,12.0197,10.6798,7,186,7.425
44,100,0,0,12.0538,10.6998,7,182,8.630
45,100,0,0,12.0866,10.7198,7,180,7.728
46,100,0,0,12.1184,10.7398,7,184,8.639
47,100,0,0,12.1503,10.7598,7,186,7.430
48,100,0,0,12.1824,10.7798,7,186,8.358
49,100,0,0,12.2169,10.7998,7,190,7.602
50,100,0,0,12.2514,10.8198,7,188,9.194
51,100,0,0,12.2851,10.8398,7,188,7.678
52,100,0,0,12.3186,10.8598,7,190,9.532
53,100,0,0,12.3514,10.8798,7,190,7.608
54,100,0,0,12.3817,10.8998,7,188,9.703
55,100,0,0,12.4136,10.9198,7,192,7.677
56,100,0,0,12.4439,10.9398,7,188,9.365
57,100,0,0,12.4730,10.9598,7,186,7.749
58,100,0,0,12.5027,10.9798,8,186,8.378
59,100,0,0,12.5303,10.9998,8,190,7.911
60,100,0,0,12.5611,11.0198,8,190,8.768
61,100,0,0,12.5891,11.0398,8,184,8.043
62,100,0,0,12.6165,11.0598,8,184,8.729
63,100,0,0,12.6424,11.0798,8,186,7.796
64,100,0,0,12.6666,11.0998,8,186,8.551
65,100,1,1,12.6149,10.9197,8,178,8.378
66,100,0,0,12.6368,10.9397,8,178,8.713
67,100,0,0,12.6578,10.9597,8,182,8.404
68,100,0,0,12.6796,10.9797,8,182,8.437
69,100,1,1,12.6397,10.7990,8,181,7.854
70,100,0,0,12.6654,10.8190,8,182,8.624
71,100,0,0,12.6939,10.8390,8,186,7.922
72,100,0,0,12.7259,10.8590,8,184,9.082
73,100,1,1,12.6978,10.6784,8,186,7.907
74,100,0,0,12.7294,10.6984,8,190,9.287
75,100,0,0,12.7601,10.7184,8,190,8.922
76,100,0,0,12.7896,10.7384,8,188,9.955
77,100,0,0,12.8189,10.7584,8,190,10.316
78,100,1,1,12.7874,10.5740,9,188,9.313
79,100,0,0,12.8152,10.5940,9,192,8.542
80,100,0,0,12.8394,10.6140,9,190,7.949
81,100,0,0,12.8635,10.6340,9,194,9.365
82,100,0,0,12.8846,10.6540,9,194,8.053
83,100,0,0,12.8998,10.6740,9,188,9.358
84,100,0,0,12.9149,10.6940,9,188,7.945
85,100,0,0,12.9276,10.7140,9,184,9.104
86,100,0,0,12.9388,10.7340,9,186,8.285
87,100,0,0,12.9481,10.7540,9,184,9.015
88,100,0,0,12.9589,10.7740,9,182,8.319
89,100,0,0,12.9720,10.7940,9,182,8.993
90,100,0,0,12.9830,10.8140,9,180,8.100
91,100,0,0,12.9970,10.8340,9,178,8.895
92,100,0,0,13.0116,10.8540,9,174,9.074
93,100,0,0,13.0253,10.8740,9,174,11.900
94,100,0,0,13.0376,10.8940,9,172,9.415
95,100,0,0,13.0534,10.9140,9,172,8.412
96,100,0,0,13.0680,10.9340,10,172,8.874
97,100,0,0,13.0808,10.9540,10,168,8.567
98,100,0,0,13.0958,10.9740,10,170,9.299
99,100,0,0,13.1123,10.9940,10,170,8.261
100,100,1,1,13.0658,10.8076,10,174,8.938
101,100,0,0,13.0799,10.8276,10,174,8.319
102,100,0,0,13.0951,10.8476,10,174,9.145
103,100,0,0,13.1100,10.8676,10,176,9.395
104,100,0,0,13.1250,10.8876,10,176,9.413
105,101,1,0,12.9315,10.7996,10,174,9.876
106,101,1,1,12.8743,10.6204,10,177,8.960
107,101,0,0,12.8911,10.6404,10,178,9.505
108,101,1,1,12.8463,10.4547,10,175,8.614
109,101,0,0,12.8649,10.4747,10,176,11.501
110,101,0,0,12.8840,10.4947,10,172,9.295
111,101,0,0,12.9013,10.5147,10,174,8.755
112,101,1,1,12.8572,10.3331,10,174,9.645
113,101,0,0,12.8722,10.3531,10,174,8.597
114,101,0,0,12.8867,10.3731,10,172,9.824
115,101,0,0,12.9012,10.3931,10,174,8.822
116,101,0,0,12.9155,10.4131,10,180,9.381
117,101,1,1,12.8550,10.2348,10,180,9.122
118,101,0,0,12.8699,10.2548,10,180,8.725
119,101,0,0,12.8853,10.2748,10,180,9.308
120,101,0,0,12.8995,10.2948,10,180,8.651
121,101,0,0,12.9142,10.3148,10,178,8.994
122,101,1,1,12.8580,10.1354,10,178,11.692
123,101,0,0,12.8732,10.1554,10,180,11.103
124,101,0,0,12.8908,10.1754,10,178,9.789
125,101,0,0,12.9065,10.1954,10,176,9.612
126,101,0,0,12.9220,10.2154,10,172,14.010
127,101,0,0,12.9380,10.2354,10,176,16.805
128,101,0,0,12.9530,10.2554,10,174,15.047
129,101,0,0,12.9677,10.2754,10,174,14.511
130,101,1,1,12.9218,10.0739,10,176,14.374
131,101,0,0,12.9391,10.0939,10,176,15.807
132,101,0,0,12.9558,10.1139,10,176,12.163
